Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,22:08:57.615396,22:09:00.662213,1,-1.0
1,22:08:57.615396,22:09:01.154520,1,-1.0
1,22:08:57.615396,22:09:01.342630,1,-1.0
1,22:08:57.615396,22:09:01.511032,1,-1.0
1,22:08:57.615396,22:09:01.667324,1,-1.0
1,22:08:57.615396,22:09:01.814042,1,-1.0
1,22:08:57.615396,22:09:01.971737,1,-1.0
1,22:08:57.615396,22:09:02.138559,1,-1.0
1,22:08:57.615396,22:09:02.295485,1,-1.0
1,22:08:57.615396,22:09:02.463884,1,-1.0
1,22:08:57.615396,22:09:02.640524,1,-1.0
1,22:08:57.615396,22:09:02.807725,1,-1.0
1,22:08:57.615396,22:09:02.972716,1,-1.0
1,22:08:57.615396,22:09:03.139614,1,-1.0
1,22:08:57.615396,22:09:03.305602,1,-1.0
1,22:08:57.615396,22:09:03.441419,1,-1.0
1,22:08:57.615396,22:09:03.607847,1,-1.0
1,22:08:57.615396,22:09:03.757324,1,-1.0
1,22:08:57.615396,22:09:03.925181,1,-1.0
1,22:08:57.615396,22:09:04.091834,1,-1.0
1,22:08:57.615396,22:09:04.249748,1,-1.0
1,22:08:57.615396,22:09:04.419036,1,-1.0
1,22:08:57.615396,22:09:04.566198,1,-1.0
1,22:08:57.615396,22:09:04.712798,1,-1.0
1,22:08:57.615396,22:09:04.866706,1,-1.0
1,22:08:57.615396,22:09:05.030568,1,-1.0
1,22:08:57.615396,22:09:05.198947,1,-1.0
1,22:08:57.615396,22:09:05.427638,1,-1.0
1,22:08:57.615396,22:09:08.473389,-1,-1.0
1,22:08:57.615396,22:09:08.670907,-1,-1.0
1,22:08:57.615396,22:09:08.921812,-1,-1.0
1,22:08:57.615396,22:09:09.795045,-1,-1.0
1,22:08:57.615396,22:09:10.526045,-1,-1.0
1,22:08:57.615396,22:09:10.971182,-1,-1.0
1,22:08:57.615396,22:09:11.412905,-1,-1.0
1,22:08:57.615396,22:09:12.393515,-1,-1.0
1,22:08:57.615396,22:09:12.908248,-1,-1.0
1,22:08:57.615396,22:09:13.411579,-1,-1.0
1,22:08:57.615396,22:09:14.447605,-1,-1.0
1,22:08:57.615396,22:09:15.290817,1,-1.0
1,22:08:57.615396,22:09:15.601873,1,-1.0
1,22:08:57.615396,22:09:15.901382,1,-1.0
1,22:08:57.615396,22:09:16.171998,1,-1.0
1,22:08:57.615396,22:09:16.431636,1,-1.0
1,22:08:57.615396,22:09:16.670142,1,-1.0
1,22:08:57.615396,22:09:16.960327,1,-1.0
1,22:08:57.615396,22:09:17.219827,1,-1.0
1,22:08:57.615396,22:09:17.437758,1,-1.0
1,22:08:57.615396,22:09:17.727577,1,-1.0
1,22:08:57.615396,22:09:17.966575,1,-1.0
1,22:08:57.615396,22:09:18.206346,1,-1.0
1,22:08:57.615396,22:09:18.426105,1,-1.0
1,22:08:57.615396,22:09:18.665167,1,-1.0
1,22:08:57.615396,22:09:18.913933,1,-1.0
1,22:08:57.615396,22:09:19.131849,1,-1.0
1,22:08:57.615396,22:09:19.356856,1,-1.0
1,22:08:57.615396,22:09:19.564666,1,-1.0
1,22:08:57.615396,22:09:19.761650,1,-1.0
1,22:08:57.615396,22:09:19.948340,1,-1.0
1,22:08:57.615396,22:09:20.125118,1,-1.0
1,22:08:57.615396,22:09:20.296027,1,-1.0
1,22:08:57.615396,22:09:20.547386,1,-1.0
1,22:08:57.615396,22:09:21.466188,-1,-1.0
1,22:08:57.615396,22:09:21.846901,-1,-1.0
1,22:08:57.615396,22:09:22.254474,-1,-1.0
1,22:08:57.615396,22:09:22.648352,-1,-1.0
1,22:08:57.615396,22:09:23.030811,-1,-1.0
1,22:08:57.615396,22:09:23.692106,1,-1.0
1,22:08:57.615396,22:09:23.851357,1,-1.0
1,22:08:57.615396,22:09:24.027818,1,-1.0
1,22:08:57.615396,22:09:24.185476,1,-1.0
1,22:08:57.615396,22:09:24.363790,1,-1.0
1,22:08:57.615396,22:09:24.541705,1,-1.0
1,22:08:57.615396,22:09:24.993911,1,-1.0
1,22:08:57.615396,22:09:25.145177,1,-1.0
1,22:08:57.615396,22:09:25.326088,1,-1.0
1,22:08:57.615396,22:09:25.502982,1,-1.0
1,22:08:57.615396,22:09:25.680001,1,-1.0
1,22:08:57.615396,22:09:25.867261,1,-1.0
1,22:08:57.615396,22:09:26.054288,1,-1.0
1,22:08:57.615396,22:09:26.220935,1,-1.0
1,22:08:57.615396,22:09:26.397704,1,-1.0
1,22:08:57.615396,22:09:26.575113,1,-1.0
1,22:08:57.615396,22:09:26.743448,1,-1.0
1,22:08:57.615396,22:09:26.920587,1,-1.0
1,22:08:57.615396,22:09:27.087919,1,-1.0
1,22:08:57.615396,22:09:27.284917,1,-1.0
1,22:08:57.615396,22:09:27.451915,1,-1.0
1,22:08:57.615396,22:09:27.650702,1,-1.0
