Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,22:28:22.910226,22:28:25.769790,-1,-1.0
1,22:28:22.910226,22:28:26.009744,-1,-1.0
1,22:28:22.910226,22:28:26.533155,1,-1.0
1,22:28:22.910226,22:28:26.722219,1,-1.0
1,22:28:22.910226,22:28:26.880717,1,-1.0
1,22:28:22.910226,22:28:27.047256,1,-1.0
1,22:28:22.910226,22:28:27.071227,-1,-1.0
1,22:28:22.910226,22:28:27.219319,1,-1.0
1,22:28:22.910226,22:28:27.398344,1,-1.0
1,22:28:22.910226,22:28:27.554816,1,-1.0
1,22:28:22.910226,22:28:27.712490,1,-1.0
1,22:28:22.910226,22:28:27.871872,1,-1.0
1,22:28:22.910226,22:28:28.028788,1,-1.0
1,22:28:22.910226,22:28:28.186164,1,-1.0
1,22:28:22.910226,22:28:28.332899,1,-1.0
1,22:28:22.910226,22:28:28.469091,1,-1.0
1,22:28:22.910226,22:28:28.636099,1,-1.0
1,22:28:22.910226,22:28:28.812980,1,-1.0
1,22:28:22.910226,22:28:28.970797,1,-1.0
1,22:28:22.910226,22:28:29.137279,1,-1.0
1,22:28:22.910226,22:28:29.293611,1,-1.0
1,22:28:22.910226,22:28:29.461790,1,-1.0
1,22:28:22.910226,22:28:29.638771,1,-1.0
1,22:28:22.910226,22:28:29.796907,1,-1.0
1,22:28:22.910226,22:28:29.974082,1,-1.0
1,22:28:22.910226,22:28:30.151220,1,-1.0
1,22:28:22.910226,22:28:30.328221,1,-1.0
1,22:28:22.910226,22:28:30.505382,1,-1.0
1,22:28:22.910226,22:28:30.672601,1,-1.0
1,22:28:22.910226,22:28:30.829014,1,-1.0
1,22:28:22.910226,22:28:31.005738,1,-1.0
1,22:28:22.910226,22:28:31.182973,1,-1.0
1,22:28:22.910226,22:28:31.349366,1,-1.0
1,22:28:22.910226,22:28:31.526094,1,-1.0
1,22:28:22.910226,22:28:31.703081,1,-1.0
1,22:28:22.910226,22:28:31.861535,1,-1.0
1,22:28:22.910226,22:28:32.029385,1,-1.0
1,22:28:22.910226,22:28:32.195954,1,-1.0
1,22:28:22.910226,22:28:32.362638,1,-1.0
1,22:28:22.910226,22:28:32.519278,1,-1.0
1,22:28:22.910226,22:28:32.696467,1,-1.0
1,22:28:22.910226,22:28:32.904238,-1,-1.0
1,22:28:22.910226,22:28:33.242998,-1,-1.0
1,22:28:22.910226,22:28:33.517974,-1,-1.0
1,22:28:22.910226,22:28:33.819314,-1,-1.0
1,22:28:22.910226,22:28:34.160669,-1,-1.0
1,22:28:22.910226,22:28:34.383224,-1,-1.0
1,22:28:22.910226,22:28:34.562820,-1,-1.0
1,22:28:22.910226,22:28:34.707190,-1,-1.0
1,22:28:22.910226,22:28:34.883986,-1,-1.0
1,22:28:22.910226,22:28:35.073058,-1,-1.0
1,22:28:22.910226,22:28:35.241142,-1,-1.0
1,22:28:22.910226,22:28:35.407455,-1,-1.0
1,22:28:22.910226,22:28:35.828150,1,-1.0
1,22:28:22.910226,22:28:36.033027,1,-1.0
1,22:28:22.910226,22:28:36.332705,-1,-1.0
1,22:28:22.910226,22:28:36.519787,-1,-1.0
1,22:28:22.910226,22:28:36.687808,-1,-1.0
1,22:28:22.910226,22:28:36.865314,-1,-1.0
1,22:28:22.910226,22:28:37.062760,-1,-1.0
1,22:28:22.910226,22:28:37.270330,-1,-1.0
1,22:28:22.910226,22:28:37.489032,-1,-1.0
1,22:28:22.910226,22:28:37.707084,1,-1.0
1,22:28:22.910226,22:28:38.067218,-1,-1.0
1,22:28:22.910226,22:28:38.302231,-1,-1.0
1,22:28:22.910226,22:28:38.625734,-1,-1.0
1,22:28:22.910226,22:28:38.895833,-1,-1.0
1,22:28:22.910226,22:28:39.217014,-1,-1.0
1,22:28:22.910226,22:28:39.508867,-1,-1.0
1,22:28:22.910226,22:28:39.893823,-1,-1.0
1,22:28:22.910226,22:28:40.341134,-1,-1.0
1,22:28:22.910226,22:28:40.782468,-1,-1.0
1,22:28:22.910226,22:28:41.179527,-1,-1.0
1,22:28:22.910226,22:28:41.591586,-1,-1.0
1,22:28:22.910226,22:28:42.015932,-1,-1.0
1,22:28:22.910226,22:28:42.539990,1,-1.0
1,22:28:22.910226,22:28:42.717087,1,-1.0
1,22:28:22.910226,22:28:42.875319,1,-1.0
1,22:28:22.910226,22:28:43.021806,1,-1.0
1,22:28:22.910226,22:28:43.188711,1,-1.0
1,22:28:22.910226,22:28:43.347756,1,-1.0
