Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,21:41:39.084568,21:41:41.867161,1,-1.0
1,21:41:39.084568,21:41:42.207468,1,-1.0
1,21:41:39.084568,21:41:42.621174,1,-1.0
1,21:41:39.084568,21:41:43.119169,1,-1.0
1,21:41:39.084568,21:41:43.550937,1,-1.0
1,21:41:39.084568,21:41:44.379138,1,-1.0
1,21:41:39.084568,21:41:45.030570,1,-1.0
1,21:41:39.084568,21:41:45.647498,1,-1.0
1,21:41:39.084568,21:41:46.171643,1,-1.0
1,21:41:39.084568,21:41:46.816869,1,-1.0
1,21:41:39.084568,21:41:47.471825,1,-1.0
1,21:41:39.084568,21:41:48.085315,1,-1.0
1,21:41:39.084568,21:41:48.720798,1,-1.0
1,21:41:39.084568,21:41:49.471085,1,-1.0
1,21:41:39.084568,21:41:51.016673,1,-1.0
1,21:41:39.084568,21:41:51.836146,1,-1.0
1,21:41:39.084568,21:41:53.565506,1,-1.0
1,21:41:39.084568,21:41:59.521969,-1,-1.0
1,21:41:39.084568,21:42:11.572317,1,-1.0
1,21:41:39.084568,21:42:11.875869,1,-1.0
1,21:41:39.084568,21:42:12.195459,1,-1.0
1,21:41:39.084568,21:42:12.535611,1,-1.0
1,21:41:39.084568,21:42:12.765002,1,-1.0
1,21:41:39.084568,21:42:12.972842,1,-1.0
1,21:41:39.084568,21:42:13.211474,1,-1.0
1,21:41:39.084568,21:42:13.439817,1,-1.0
1,21:41:39.084568,21:42:13.637871,1,-1.0
1,21:41:39.084568,21:42:13.825078,1,-1.0
1,21:41:39.084568,21:42:14.084903,1,-1.0
1,21:41:39.084568,21:42:14.283187,1,-1.0
1,21:41:39.084568,21:42:14.511691,1,-1.0
1,21:41:39.084568,21:42:14.729645,1,-1.0
1,21:41:39.084568,21:42:14.927000,1,-1.0
1,21:41:39.084568,21:42:15.103919,1,-1.0
1,21:41:39.084568,21:42:15.290531,1,-1.0
1,21:41:39.084568,21:42:15.919470,1,-1.0
1,21:41:39.084568,21:42:17.159636,1,-1.0
1,21:41:39.084568,21:42:17.367658,1,-1.0
1,21:41:39.084568,21:42:17.534127,1,-1.0
1,21:41:39.084568,21:42:17.690344,1,-1.0
1,21:41:39.084568,21:42:17.846797,1,-1.0
1,21:41:39.084568,21:42:17.996123,1,-1.0
1,21:41:39.084568,21:42:18.204316,1,-1.0
1,21:41:39.084568,21:42:19.228811,1,-1.0
1,21:41:39.084568,21:42:19.580183,1,-1.0
1,21:41:39.084568,21:42:19.799154,1,-1.0
1,21:41:39.084568,21:42:19.976147,1,-1.0
1,21:41:39.084568,21:42:20.204457,1,-1.0
1,21:41:39.084568,21:42:20.443146,1,-1.0
1,21:41:39.084568,21:42:20.661436,1,-1.0
1,21:41:39.084568,21:42:20.859637,1,-1.0
1,21:41:39.084568,21:42:21.046650,1,-1.0
1,21:41:39.084568,21:42:21.265361,1,-1.0
1,21:41:39.084568,21:42:21.481416,1,-1.0
1,21:41:39.084568,21:42:21.699695,1,-1.0
1,21:41:39.084568,21:42:26.204818,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
