Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,22:01:58.719483,22:02:03.057234,1,-1.0
1,22:01:58.719483,22:02:03.653392,1,-1.0
1,22:01:58.719483,22:02:05.262722,1,-1.0
1,22:01:58.719483,22:02:05.598835,1,-1.0
1,22:01:58.719483,22:02:05.892486,1,-1.0
1,22:01:58.719483,22:02:06.241930,1,-1.0
1,22:01:58.719483,22:02:06.560837,1,-1.0
1,22:01:58.719483,22:02:06.871659,1,-1.0
1,22:01:58.719483,22:02:07.110409,1,-1.0
1,22:01:58.719483,22:02:07.348895,1,-1.0
1,22:01:58.719483,22:02:07.569805,1,-1.0
1,22:01:58.719483,22:02:07.767873,1,-1.0
1,22:01:58.719483,22:02:07.924646,1,-1.0
1,22:01:58.719483,22:02:08.082903,1,-1.0
1,22:01:58.719483,22:02:08.229567,1,-1.0
1,22:01:58.719483,22:02:08.376412,1,-1.0
1,22:01:58.719483,22:02:08.533989,1,-1.0
1,22:01:58.719483,22:02:08.682211,1,-1.0
1,22:01:58.719483,22:02:08.818489,1,-1.0
1,22:01:58.719483,22:02:08.976514,1,-1.0
1,22:01:58.719483,22:02:09.135427,1,-1.0
1,22:01:58.719483,22:02:10.700213,1,-1.0
1,22:01:58.719483,22:02:10.857519,1,-1.0
1,22:01:58.719483,22:02:11.013792,1,-1.0
1,22:01:58.719483,22:02:11.180673,1,-1.0
1,22:01:58.719483,22:02:11.370851,1,-1.0
1,22:01:58.719483,22:02:11.548013,1,-1.0
1,22:01:58.719483,22:02:12.276600,-1,-1.0
1,22:01:58.719483,22:02:12.455185,-1,-1.0
1,22:01:58.719483,22:02:12.622156,-1,-1.0
1,22:01:58.719483,22:02:12.799932,-1,-1.0
1,22:01:58.719483,22:02:12.967087,-1,-1.0
1,22:01:58.719483,22:02:13.134388,-1,-1.0
1,22:01:58.719483,22:02:13.321275,-1,-1.0
1,22:01:58.719483,22:02:13.509621,-1,-1.0
1,22:01:58.719483,22:02:13.698352,-1,-1.0
1,22:01:58.719483,22:02:13.877031,-1,-1.0
1,22:01:58.719483,22:02:14.044339,-1,-1.0
1,22:01:58.719483,22:02:14.231983,-1,-1.0
1,22:01:58.719483,22:02:17.669275,-1,-1.0
1,22:01:58.719483,22:02:17.836046,-1,-1.0
