Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,17:13:09.947348,17:13:15.519381,1,-1.0
1,17:13:09.947348,17:13:16.564875,1,-1.0
1,17:13:09.947348,17:13:17.546612,1,-1.0
1,17:13:09.947348,17:13:18.609644,1,-1.0
1,17:13:09.947348,17:13:19.491108,1,-1.0
1,17:13:09.947348,17:13:20.360524,1,-1.0
1,17:13:09.947348,17:13:21.355717,1,-1.0
1,17:13:09.947348,17:13:21.919917,-1,-1.0
1,17:13:09.947348,17:13:22.659441,-1,-1.0
1,17:13:09.947348,17:13:23.348137,-1,-1.0
1,17:13:09.947348,17:13:24.368473,-1,-1.0
1,17:13:09.947348,17:13:25.206773,-1,-1.0
1,17:13:09.947348,17:13:25.766995,1,-1.0
1,17:13:09.947348,17:13:26.474397,1,-1.0
1,17:13:09.947348,17:13:27.099898,1,-1.0
1,17:13:09.947348,17:13:27.735220,1,-1.0
1,17:13:09.947348,17:13:28.355093,1,-1.0
1,17:13:09.947348,17:13:28.924014,1,-1.0
1,17:13:09.947348,17:13:29.504633,1,-1.0
1,17:13:09.947348,17:13:29.881363,1,-1.0
1,17:13:09.947348,17:13:30.251181,1,-1.0
1,17:13:09.947348,17:13:30.734673,1,-1.0
1,17:13:09.947348,17:13:31.480368,1,-1.0
1,17:13:09.947348,17:13:32.289089,1,-1.0
1,17:13:09.947348,17:13:33.089795,1,-1.0
1,17:13:09.947348,17:13:34.053928,1,-1.0
1,17:13:09.947348,17:13:34.649592,1,-1.0
1,17:13:09.947348,17:13:36.070190,-1,-1.0
1,17:13:09.947348,17:13:36.506848,-1,-1.0
1,17:13:09.947348,17:13:37.527738,-1,-1.0
1,17:13:09.947348,17:13:38.357243,-1,-1.0
1,17:13:09.947348,17:13:39.125012,1,-1.0
1,17:13:09.947348,17:13:39.917022,1,-1.0
1,17:13:09.947348,17:13:40.706819,1,-1.0
1,17:13:09.947348,17:13:41.524241,1,-1.0
1,17:13:09.947348,17:13:42.240415,1,-1.0
1,17:13:09.947348,17:13:42.967701,1,-1.0
1,17:13:09.947348,17:13:43.749959,1,-1.0
1,17:13:09.947348,17:13:45.419757,-1,-1.0
1,17:13:09.947348,17:13:46.415419,1,-1.0
1,17:13:09.947348,17:13:47.162754,1,-1.0
1,17:13:09.947348,17:13:47.748635,1,-1.0
1,17:13:09.947348,17:13:48.322838,1,-1.0
1,17:13:09.947348,17:13:49.029185,1,-1.0
1,17:13:09.947348,17:13:49.515545,1,-1.0
1,17:13:09.947348,17:13:49.874145,1,-1.0
1,17:13:09.947348,17:13:50.282265,1,-1.0
1,17:13:09.947348,17:13:50.889480,1,-1.0
1,17:13:09.947348,17:13:51.510824,1,-1.0
1,17:13:09.947348,17:13:52.055268,1,-1.0
1,17:13:09.947348,17:13:52.622386,1,-1.0
1,17:13:09.947348,17:13:54.165632,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,17:13:56.066075,17:13:57.578781,1,-1.0
2,17:13:56.066075,17:13:58.383826,1,-1.0
2,17:13:56.066075,17:13:59.124935,1,-1.0
2,17:13:56.066075,17:13:59.947663,1,-1.0
2,17:13:56.066075,17:14:00.787274,1,-1.0
2,17:13:56.066075,17:14:01.632784,1,-1.0
2,17:13:56.066075,17:14:02.484686,1,-1.0
2,17:13:56.066075,17:14:03.184309,1,-1.0
2,17:13:56.066075,17:14:04.016216,1,-1.0
2,17:13:56.066075,17:14:04.760642,1,-1.0
2,17:13:56.066075,17:14:05.693336,-1,-1.0
2,17:13:56.066075,17:14:06.411007,-1,-1.0
2,17:13:56.066075,17:14:07.148623,-1,-1.0
2,17:13:56.066075,17:14:07.899756,-1,-1.0
2,17:13:56.066075,17:14:08.631710,-1,-1.0
2,17:13:56.066075,17:14:09.508363,-1,-1.0
2,17:13:56.066075,17:14:10.041669,1,-1.0
2,17:13:56.066075,17:14:10.749317,1,-1.0
2,17:13:56.066075,17:14:11.407193,1,-1.0
2,17:13:56.066075,17:14:11.994885,1,-1.0
2,17:13:56.066075,17:14:12.621084,1,-1.0
