Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:02:36.348093,23:02:38.686116,1,-1.0
1,23:02:36.348093,23:02:38.965830,-1,-1.0
1,23:02:36.348093,23:02:39.155731,-1,-1.0
1,23:02:36.348093,23:02:39.680006,1,-1.0
1,23:02:36.348093,23:02:39.817380,1,-1.0
1,23:02:36.348093,23:02:39.953308,1,-1.0
1,23:02:36.348093,23:02:40.089251,1,-1.0
1,23:02:36.348093,23:02:40.214984,1,-1.0
1,23:02:36.348093,23:02:40.351293,1,-1.0
1,23:02:36.348093,23:02:40.476874,1,-1.0
1,23:02:36.348093,23:02:40.582112,1,-1.0
1,23:02:36.348093,23:02:40.691963,1,-1.0
1,23:02:36.348093,23:02:40.940822,1,-1.0
1,23:02:36.348093,23:02:41.055631,1,-1.0
1,23:02:36.348093,23:02:41.172048,1,-1.0
1,23:02:36.348093,23:02:41.284552,1,-1.0
1,23:02:36.348093,23:02:41.403162,1,-1.0
1,23:02:36.348093,23:02:41.528618,1,-1.0
1,23:02:36.348093,23:02:41.664703,1,-1.0
1,23:02:36.348093,23:02:41.793794,1,-1.0
1,23:02:36.348093,23:02:41.908965,1,-1.0
1,23:02:36.348093,23:02:42.022679,1,-1.0
1,23:02:36.348093,23:02:42.142031,1,-1.0
1,23:02:36.348093,23:02:42.259731,1,-1.0
1,23:02:36.348093,23:02:42.355103,1,-1.0
1,23:02:36.348093,23:02:42.462070,1,-1.0
1,23:02:36.348093,23:02:42.569369,1,-1.0
1,23:02:36.348093,23:02:42.657394,1,-1.0
1,23:02:36.348093,23:02:42.777071,1,-1.0
1,23:02:36.348093,23:02:42.883686,1,-1.0
1,23:02:36.348093,23:02:42.993185,1,-1.0
1,23:02:36.348093,23:02:43.098767,1,-1.0
1,23:02:36.348093,23:02:43.206991,1,-1.0
1,23:02:36.348093,23:02:43.301808,1,-1.0
1,23:02:36.348093,23:02:43.410202,1,-1.0
1,23:02:36.348093,23:02:43.552342,1,-1.0
1,23:02:36.348093,23:02:43.749639,1,-1.0
1,23:02:36.348093,23:02:43.847131,1,-1.0
1,23:02:36.348093,23:02:43.980806,1,-1.0
1,23:02:36.348093,23:02:44.086099,1,-1.0
1,23:02:36.348093,23:02:44.214178,1,-1.0
1,23:02:36.348093,23:02:44.319313,1,-1.0
1,23:02:36.348093,23:02:44.440592,1,-1.0
1,23:02:36.348093,23:02:44.567808,1,-1.0
1,23:02:36.348093,23:02:44.693986,1,-1.0
1,23:02:36.348093,23:02:44.901471,1,-1.0
1,23:02:36.348093,23:02:45.028108,1,-1.0
1,23:02:36.348093,23:02:45.156051,1,-1.0
1,23:02:36.348093,23:02:45.271168,1,-1.0
1,23:02:36.348093,23:02:45.408331,1,-1.0
1,23:02:36.348093,23:02:45.537111,1,-1.0
1,23:02:36.348093,23:02:45.652585,1,-1.0
1,23:02:36.348093,23:02:45.769136,1,-1.0
1,23:02:36.348093,23:02:46.011190,-1,-1.0
1,23:02:36.348093,23:02:46.311757,-1,-1.0
1,23:02:36.348093,23:02:46.658306,-1,-1.0
1,23:02:36.348093,23:02:47.011224,-1,-1.0
1,23:02:36.348093,23:02:47.333287,-1,-1.0
1,23:02:36.348093,23:02:47.753364,-1,-1.0
1,23:02:36.348093,23:02:47.940551,-1,-1.0
1,23:02:36.348093,23:02:48.086391,-1,-1.0
1,23:02:36.348093,23:02:48.243714,-1,-1.0
1,23:02:36.348093,23:02:48.400598,-1,-1.0
1,23:02:36.348093,23:02:48.537231,-1,-1.0
1,23:02:36.348093,23:02:48.683441,-1,-1.0
1,23:02:36.348093,23:02:48.852339,-1,-1.0
1,23:02:36.348093,23:02:49.049780,-1,-1.0
1,23:02:36.348093,23:02:49.289898,-1,-1.0
1,23:02:36.348093,23:02:49.416016,1,-1.0
1,23:02:36.348093,23:02:49.572765,1,-1.0
1,23:02:36.348093,23:02:49.882478,-1,-1.0
1,23:02:36.348093,23:02:50.039137,-1,-1.0
1,23:02:36.348093,23:02:50.185057,-1,-1.0
1,23:02:36.348093,23:02:50.331103,-1,-1.0
1,23:02:36.348093,23:02:50.497877,-1,-1.0
1,23:02:36.348093,23:02:50.665649,-1,-1.0
