Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:02:56.512131,23:02:59.524944,1,-1.0
1,23:02:56.512131,23:03:00.010200,1,-1.0
1,23:02:56.512131,23:03:00.322130,1,-1.0
1,23:02:56.512131,23:03:00.611815,1,-1.0
1,23:02:56.512131,23:03:00.860082,1,-1.0
1,23:02:56.512131,23:03:01.365044,1,-1.0
1,23:02:56.512131,23:03:01.634318,1,-1.0
1,23:02:56.512131,23:03:01.812378,1,-1.0
1,23:02:56.512131,23:03:01.988335,1,-1.0
1,23:02:56.512131,23:03:02.146202,1,-1.0
1,23:02:56.512131,23:03:02.295171,1,-1.0
1,23:02:56.512131,23:03:02.451493,1,-1.0
1,23:02:56.512131,23:03:02.619588,1,-1.0
1,23:02:56.512131,23:03:02.775915,1,-1.0
1,23:02:56.512131,23:03:02.923867,1,-1.0
1,23:02:56.512131,23:03:03.070142,1,-1.0
1,23:02:56.512131,23:03:03.226305,1,-1.0
1,23:02:56.512131,23:03:03.392622,1,-1.0
1,23:02:56.512131,23:03:03.561449,1,-1.0
1,23:02:56.512131,23:03:03.717738,1,-1.0
1,23:02:56.512131,23:03:03.899101,1,-1.0
1,23:02:56.512131,23:03:04.075773,1,-1.0
1,23:02:56.512131,23:03:04.232322,1,-1.0
1,23:02:56.512131,23:03:04.389753,1,-1.0
1,23:02:56.512131,23:03:04.545952,1,-1.0
1,23:02:56.512131,23:03:04.702431,1,-1.0
1,23:02:56.512131,23:03:04.848147,1,-1.0
1,23:02:56.512131,23:03:04.994487,1,-1.0
1,23:02:56.512131,23:03:05.134053,1,-1.0
1,23:02:56.512131,23:03:05.198161,-1,-1.0
1,23:02:56.512131,23:03:05.360652,-1,-1.0
1,23:02:56.512131,23:03:05.517331,-1,-1.0
1,23:02:56.512131,23:03:05.675025,-1,-1.0
1,23:02:56.512131,23:03:05.854547,-1,-1.0
1,23:02:56.512131,23:03:06.041153,-1,-1.0
1,23:02:56.512131,23:03:06.198315,-1,-1.0
1,23:02:56.512131,23:03:06.375503,-1,-1.0
1,23:02:56.512131,23:03:06.531627,-1,-1.0
1,23:02:56.512131,23:03:06.709107,-1,-1.0
1,23:02:56.512131,23:03:06.888363,-1,-1.0
1,23:02:56.512131,23:03:07.350091,-1,-1.0
1,23:02:56.512131,23:03:07.753365,1,-1.0
1,23:02:56.512131,23:03:08.133143,1,-1.0
1,23:02:56.512131,23:03:08.473419,1,-1.0
1,23:02:56.512131,23:03:08.622100,1,-1.0
1,23:02:56.512131,23:03:08.778915,1,-1.0
1,23:02:56.512131,23:03:08.934813,1,-1.0
1,23:02:56.512131,23:03:09.080656,1,-1.0
1,23:02:56.512131,23:03:09.226361,1,-1.0
1,23:02:56.512131,23:03:09.362556,1,-1.0
1,23:02:56.512131,23:03:09.509101,1,-1.0
1,23:02:56.512131,23:03:09.645153,1,-1.0
1,23:02:56.512131,23:03:09.784475,1,-1.0
1,23:02:56.512131,23:03:09.922293,1,-1.0
1,23:02:56.512131,23:03:10.068087,1,-1.0
1,23:02:56.512131,23:03:10.213968,1,-1.0
1,23:02:56.512131,23:03:10.339661,1,-1.0
1,23:02:56.512131,23:03:10.465409,1,-1.0
1,23:02:56.512131,23:03:10.601586,1,-1.0
1,23:02:56.512131,23:03:10.719057,1,-1.0
1,23:02:56.512131,23:03:10.824684,1,-1.0
1,23:02:56.512131,23:03:10.935900,1,-1.0
1,23:02:56.512131,23:03:11.050797,1,-1.0
1,23:02:56.512131,23:03:11.176101,1,-1.0
1,23:02:56.512131,23:03:11.302188,1,-1.0
1,23:02:56.512131,23:03:11.439000,1,-1.0
1,23:02:56.512131,23:03:11.463675,-1,-1.0
1,23:02:56.512131,23:03:11.614132,-1,-1.0
1,23:02:56.512131,23:03:11.780882,-1,-1.0
1,23:02:56.512131,23:03:11.947305,-1,-1.0
