Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:01:28.972284,23:01:30.582975,-1,-1.0
1,23:01:28.972284,23:01:31.358538,-1,-1.0
1,23:01:28.972284,23:01:31.779870,1,-1.0
1,23:01:28.972284,23:01:31.916761,1,-1.0
1,23:01:28.972284,23:01:32.095775,1,-1.0
1,23:01:28.972284,23:01:32.253114,1,-1.0
1,23:01:28.972284,23:01:32.419243,1,-1.0
1,23:01:28.972284,23:01:32.585658,1,-1.0
1,23:01:28.972284,23:01:32.753557,1,-1.0
1,23:01:28.972284,23:01:32.910086,1,-1.0
1,23:01:28.972284,23:01:33.066589,1,-1.0
1,23:01:28.972284,23:01:33.224270,1,-1.0
1,23:01:28.972284,23:01:33.401116,1,-1.0
1,23:01:28.972284,23:01:33.557401,1,-1.0
1,23:01:28.972284,23:01:33.723978,1,-1.0
1,23:01:28.972284,23:01:33.890504,1,-1.0
1,23:01:28.972284,23:01:34.046608,1,-1.0
1,23:01:28.972284,23:01:34.203603,1,-1.0
1,23:01:28.972284,23:01:34.370238,1,-1.0
1,23:01:28.972284,23:01:34.539933,1,-1.0
1,23:01:28.972284,23:01:34.716864,1,-1.0
1,23:01:28.972284,23:01:34.883518,1,-1.0
1,23:01:28.972284,23:01:35.039802,1,-1.0
1,23:01:28.972284,23:01:35.206482,1,-1.0
1,23:01:28.972284,23:01:35.364880,1,-1.0
1,23:01:28.972284,23:01:35.541801,1,-1.0
1,23:01:28.972284,23:01:35.739766,1,-1.0
1,23:01:28.972284,23:01:35.866694,1,-1.0
1,23:01:28.972284,23:01:35.992508,1,-1.0
1,23:01:28.972284,23:01:36.148945,1,-1.0
1,23:01:28.972284,23:01:36.296875,1,-1.0
1,23:01:28.972284,23:01:36.452850,1,-1.0
1,23:01:28.972284,23:01:36.619730,1,-1.0
1,23:01:28.972284,23:01:36.806603,1,-1.0
1,23:01:28.972284,23:01:36.952818,1,-1.0
1,23:01:28.972284,23:01:37.115824,1,-1.0
1,23:01:28.972284,23:01:37.274001,1,-1.0
1,23:01:28.972284,23:01:37.440653,1,-1.0
1,23:01:28.972284,23:01:37.596918,1,-1.0
1,23:01:28.972284,23:01:37.742963,1,-1.0
1,23:01:28.972284,23:01:37.903389,1,-1.0
1,23:01:28.972284,23:01:38.069685,1,-1.0
1,23:01:28.972284,23:01:38.267161,1,-1.0
1,23:01:28.972284,23:01:38.466073,1,-1.0
1,23:01:28.972284,23:01:38.614458,1,-1.0
1,23:01:28.972284,23:01:38.904409,-1,-1.0
1,23:01:28.972284,23:01:39.468208,-1,-1.0
1,23:01:28.972284,23:01:39.717163,-1,-1.0
1,23:01:28.972284,23:01:40.087876,-1,-1.0
1,23:01:28.972284,23:01:40.369989,-1,-1.0
1,23:01:28.972284,23:01:40.709018,-1,-1.0
1,23:01:28.972284,23:01:40.918426,-1,-1.0
1,23:01:28.972284,23:01:41.331626,-1,-1.0
1,23:01:28.972284,23:01:41.518791,-1,-1.0
1,23:01:28.972284,23:01:41.695549,-1,-1.0
1,23:01:28.972284,23:01:41.903056,-1,-1.0
1,23:01:28.972284,23:01:42.079584,-1,-1.0
1,23:01:28.972284,23:01:42.236380,-1,-1.0
1,23:01:28.972284,23:01:42.477381,1,-1.0
1,23:01:28.972284,23:01:42.604619,1,-1.0
1,23:01:28.972284,23:01:42.925930,-1,-1.0
1,23:01:28.972284,23:01:43.134029,-1,-1.0
1,23:01:28.972284,23:01:43.382899,1,-1.0
1,23:01:28.972284,23:01:43.549709,1,-1.0
1,23:01:28.972284,23:01:43.719714,1,-1.0
1,23:01:28.972284,23:01:43.906702,1,-1.0
1,23:01:28.972284,23:01:44.083990,1,-1.0
1,23:01:28.972284,23:01:44.262682,1,-1.0
1,23:01:28.972284,23:01:44.440387,1,-1.0
