Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:01:50.768645,23:01:52.726920,-1,-1.0
1,23:01:50.768645,23:01:54.319795,-1,-1.0
1,23:01:50.768645,23:01:55.367607,1,-1.0
1,23:01:50.768645,23:01:55.524484,1,-1.0
1,23:01:50.768645,23:01:55.692041,1,-1.0
1,23:01:50.768645,23:01:55.885247,1,-1.0
1,23:01:50.768645,23:01:56.031094,1,-1.0
1,23:01:50.768645,23:01:56.208416,1,-1.0
1,23:01:50.768645,23:01:56.357525,1,-1.0
1,23:01:50.768645,23:01:56.504225,1,-1.0
1,23:01:50.768645,23:01:56.663869,1,-1.0
1,23:01:50.768645,23:01:56.851622,1,-1.0
1,23:01:50.768645,23:01:57.020091,1,-1.0
1,23:01:50.768645,23:01:57.178192,1,-1.0
1,23:01:50.768645,23:01:57.355812,1,-1.0
1,23:01:50.768645,23:01:57.512456,1,-1.0
1,23:01:50.768645,23:01:57.669172,1,-1.0
1,23:01:50.768645,23:01:57.825937,1,-1.0
1,23:01:50.768645,23:01:57.993302,1,-1.0
1,23:01:50.768645,23:01:58.139517,1,-1.0
1,23:01:50.768645,23:01:58.296267,1,-1.0
1,23:01:50.768645,23:01:58.463181,1,-1.0
1,23:01:50.768645,23:01:58.619834,1,-1.0
1,23:01:50.768645,23:01:58.807090,1,-1.0
1,23:01:50.768645,23:01:58.994172,1,-1.0
1,23:01:50.768645,23:01:59.129936,1,-1.0
1,23:01:50.768645,23:01:59.246006,1,-1.0
1,23:01:50.768645,23:01:59.464079,1,-1.0
1,23:01:50.768645,23:01:59.653791,1,-1.0
1,23:01:50.768645,23:01:59.810254,-1,-1.0
1,23:01:50.768645,23:02:00.110253,-1,-1.0
1,23:01:50.768645,23:02:00.410540,-1,-1.0
1,23:01:50.768645,23:02:00.711729,-1,-1.0
1,23:01:50.768645,23:02:01.013605,-1,-1.0
1,23:01:50.768645,23:02:01.318922,-1,-1.0
1,23:01:50.768645,23:02:01.659687,-1,-1.0
1,23:01:50.768645,23:02:01.979996,-1,-1.0
1,23:01:50.768645,23:02:02.259622,-1,-1.0
1,23:01:50.768645,23:02:02.815121,-1,-1.0
1,23:01:50.768645,23:02:03.209432,1,-1.0
1,23:01:50.768645,23:02:03.411470,1,-1.0
1,23:01:50.768645,23:02:03.567909,1,-1.0
1,23:01:50.768645,23:02:03.745610,1,-1.0
1,23:01:50.768645,23:02:03.891761,1,-1.0
1,23:01:50.768645,23:02:04.079399,1,-1.0
1,23:01:50.768645,23:02:04.225941,1,-1.0
1,23:01:50.768645,23:02:04.395124,1,-1.0
1,23:01:50.768645,23:02:04.572101,1,-1.0
1,23:01:50.768645,23:02:04.749821,1,-1.0
1,23:01:50.768645,23:02:04.916295,1,-1.0
