Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:03:18.743901,23:03:20.488655,-1,-1.0
1,23:03:18.743901,23:03:20.812817,-1,-1.0
1,23:03:18.743901,23:03:21.335302,1,-1.0
1,23:03:18.743901,23:03:21.492868,1,-1.0
1,23:03:18.743901,23:03:21.618842,1,-1.0
1,23:03:18.743901,23:03:21.755076,1,-1.0
1,23:03:18.743901,23:03:21.883018,1,-1.0
1,23:03:18.743901,23:03:22.000238,1,-1.0
1,23:03:18.743901,23:03:22.115435,1,-1.0
1,23:03:18.743901,23:03:22.232563,1,-1.0
1,23:03:18.743901,23:03:22.350780,1,-1.0
1,23:03:18.743901,23:03:22.466455,1,-1.0
1,23:03:18.743901,23:03:22.587708,1,-1.0
1,23:03:18.743901,23:03:22.703136,1,-1.0
1,23:03:18.743901,23:03:22.828570,1,-1.0
1,23:03:18.743901,23:03:22.943828,1,-1.0
1,23:03:18.743901,23:03:23.049096,1,-1.0
1,23:03:18.743901,23:03:23.154102,1,-1.0
1,23:03:18.743901,23:03:23.214073,1,-1.0
1,23:03:18.743901,23:03:23.335382,1,-1.0
1,23:03:18.743901,23:03:23.460706,1,-1.0
1,23:03:18.743901,23:03:23.568186,1,-1.0
1,23:03:18.743901,23:03:23.693640,1,-1.0
1,23:03:18.743901,23:03:23.810961,1,-1.0
1,23:03:18.743901,23:03:23.939112,1,-1.0
1,23:03:18.743901,23:03:24.051068,1,-1.0
1,23:03:18.743901,23:03:24.168657,1,-1.0
1,23:03:18.743901,23:03:24.283934,1,-1.0
1,23:03:18.743901,23:03:24.409760,1,-1.0
1,23:03:18.743901,23:03:24.535684,1,-1.0
1,23:03:18.743901,23:03:24.665100,1,-1.0
1,23:03:18.743901,23:03:24.796050,1,-1.0
1,23:03:18.743901,23:03:24.921483,1,-1.0
1,23:03:18.743901,23:03:25.036763,1,-1.0
1,23:03:18.743901,23:03:25.162583,1,-1.0
1,23:03:18.743901,23:03:25.278142,1,-1.0
1,23:03:18.743901,23:03:25.413601,1,-1.0
1,23:03:18.743901,23:03:25.570712,1,-1.0
1,23:03:18.743901,23:03:25.707079,1,-1.0
1,23:03:18.743901,23:03:25.813442,1,-1.0
1,23:03:18.743901,23:03:25.923625,1,-1.0
1,23:03:18.743901,23:03:26.065349,1,-1.0
1,23:03:18.743901,23:03:26.180906,1,-1.0
1,23:03:18.743901,23:03:26.309222,1,-1.0
1,23:03:18.743901,23:03:26.435172,1,-1.0
1,23:03:18.743901,23:03:26.550193,1,-1.0
1,23:03:18.743901,23:03:26.655681,1,-1.0
1,23:03:18.743901,23:03:26.789363,1,-1.0
1,23:03:18.743901,23:03:26.906928,1,-1.0
1,23:03:18.743901,23:03:27.029060,1,-1.0
1,23:03:18.743901,23:03:27.144247,1,-1.0
1,23:03:18.743901,23:03:27.168509,-1,-1.0
1,23:03:18.743901,23:03:27.456760,1,-1.0
1,23:03:18.743901,23:03:27.562072,-1,-1.0
1,23:03:18.743901,23:03:27.820971,-1,-1.0
1,23:03:18.743901,23:03:28.008323,-1,-1.0
1,23:03:18.743901,23:03:28.206000,-1,-1.0
1,23:03:18.743901,23:03:28.373071,-1,-1.0
1,23:03:18.743901,23:03:28.540018,-1,-1.0
1,23:03:18.743901,23:03:28.737874,-1,-1.0
1,23:03:18.743901,23:03:28.906614,-1,-1.0
1,23:03:18.743901,23:03:29.065388,-1,-1.0
1,23:03:18.743901,23:03:29.213502,-1,-1.0
1,23:03:18.743901,23:03:29.381503,-1,-1.0
1,23:03:18.743901,23:03:29.617244,-1,-1.0
1,23:03:18.743901,23:03:29.814257,-1,-1.0
1,23:03:18.743901,23:03:29.970987,-1,-1.0
1,23:03:18.743901,23:03:30.219919,1,-1.0
1,23:03:18.743901,23:03:30.509380,-1,-1.0
1,23:03:18.743901,23:03:30.980833,-1,-1.0
1,23:03:18.743901,23:03:31.291014,-1,-1.0
1,23:03:18.743901,23:03:31.727927,-1,-1.0
1,23:03:18.743901,23:03:32.158048,-1,-1.0
1,23:03:18.743901,23:03:32.517708,-1,-1.0
1,23:03:18.743901,23:03:32.921739,-1,-1.0
1,23:03:18.743901,23:03:33.112539,-1,-1.0
1,23:03:18.743901,23:03:33.280388,-1,-1.0
1,23:03:18.743901,23:03:33.467615,-1,-1.0
1,23:03:18.743901,23:03:33.666296,-1,-1.0
1,23:03:18.743901,23:03:34.234333,-1,-1.0
1,23:03:18.743901,23:03:34.595939,1,-1.0
