Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:15:11.780720,23:15:13.728081,-1,-1.0
1,23:15:11.780720,23:15:14.446207,-1,-1.0
1,23:15:11.780720,23:15:14.869633,1,-1.0
1,23:15:11.780720,23:15:15.007709,1,-1.0
1,23:15:11.780720,23:15:15.151298,1,-1.0
1,23:15:11.780720,23:15:15.297034,1,-1.0
1,23:15:11.780720,23:15:15.412999,1,-1.0
1,23:15:11.780720,23:15:15.510900,1,-1.0
1,23:15:11.780720,23:15:15.628280,1,-1.0
1,23:15:11.780720,23:15:15.748098,1,-1.0
1,23:15:11.780720,23:15:15.874418,1,-1.0
1,23:15:11.780720,23:15:15.969708,1,-1.0
1,23:15:11.780720,23:15:16.065051,1,-1.0
1,23:15:11.780720,23:15:16.171068,1,-1.0
1,23:15:11.780720,23:15:16.270141,1,-1.0
1,23:15:11.780720,23:15:16.387239,1,-1.0
1,23:15:11.780720,23:15:16.482536,1,-1.0
1,23:15:11.780720,23:15:16.569501,1,-1.0
1,23:15:11.780720,23:15:16.684621,1,-1.0
1,23:15:11.780720,23:15:16.871646,1,-1.0
1,23:15:11.780720,23:15:16.987206,1,-1.0
1,23:15:11.780720,23:15:17.102578,1,-1.0
1,23:15:11.780720,23:15:17.228175,1,-1.0
1,23:15:11.780720,23:15:17.344083,1,-1.0
1,23:15:11.780720,23:15:17.440158,1,-1.0
1,23:15:11.780720,23:15:17.548571,1,-1.0
1,23:15:11.780720,23:15:17.669971,1,-1.0
1,23:15:11.780720,23:15:17.785587,1,-1.0
1,23:15:11.780720,23:15:17.893145,1,-1.0
1,23:15:11.780720,23:15:17.989198,1,-1.0
1,23:15:11.780720,23:15:18.112320,1,-1.0
1,23:15:11.780720,23:15:18.289421,1,-1.0
1,23:15:11.780720,23:15:18.405263,1,-1.0
1,23:15:11.780720,23:15:18.510588,1,-1.0
1,23:15:11.780720,23:15:18.605692,1,-1.0
1,23:15:11.780720,23:15:18.703175,1,-1.0
1,23:15:11.780720,23:15:18.952125,-1,-1.0
1,23:15:11.780720,23:15:19.344839,-1,-1.0
1,23:15:11.780720,23:15:19.694520,-1,-1.0
1,23:15:11.780720,23:15:20.006279,-1,-1.0
1,23:15:11.780720,23:15:20.350825,-1,-1.0
1,23:15:11.780720,23:15:20.657586,-1,-1.0
1,23:15:11.780720,23:15:20.996234,-1,-1.0
1,23:15:11.780720,23:15:21.145425,-1,-1.0
1,23:15:11.780720,23:15:21.291685,-1,-1.0
1,23:15:11.780720,23:15:21.468419,-1,-1.0
1,23:15:11.780720,23:15:21.981970,-1,-1.0
1,23:15:11.780720,23:15:22.355200,1,-1.0
1,23:15:11.780720,23:15:22.694591,-1,-1.0
1,23:15:11.780720,23:15:22.956035,1,-1.0
1,23:15:11.780720,23:15:23.081933,1,-1.0
1,23:15:11.780720,23:15:23.227411,1,-1.0
1,23:15:11.780720,23:15:23.357140,1,-1.0
1,23:15:11.780720,23:15:23.473146,1,-1.0
1,23:15:11.780720,23:15:23.579906,1,-1.0
1,23:15:11.780720,23:15:23.665300,-1,-1.0
1,23:15:11.780720,23:15:23.971439,-1,-1.0
1,23:15:11.780720,23:15:24.148956,-1,-1.0
1,23:15:11.780720,23:15:24.286096,-1,-1.0
1,23:15:11.780720,23:15:24.443097,-1,-1.0
1,23:15:11.780720,23:15:24.702613,-1,-1.0
1,23:15:11.780720,23:15:24.921142,-1,-1.0
