Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,22:17:17.818758,22:17:20.042825,1,-1.0
1,22:17:17.818758,22:17:21.408265,-1,-1.0
1,22:17:17.818758,22:17:21.620071,-1,-1.0
1,22:17:17.818758,22:17:22.463014,1,-1.0
1,22:17:17.818758,22:17:22.598504,1,-1.0
1,22:17:17.818758,22:17:22.766159,1,-1.0
1,22:17:17.818758,22:17:22.942427,1,-1.0
1,22:17:17.818758,22:17:23.121852,1,-1.0
1,22:17:17.818758,22:17:23.309670,1,-1.0
1,22:17:17.818758,22:17:23.469311,1,-1.0
1,22:17:17.818758,22:17:23.655742,1,-1.0
1,22:17:17.818758,22:17:23.822578,1,-1.0
1,22:17:17.818758,22:17:24.000997,1,-1.0
1,22:17:17.818758,22:17:24.168595,1,-1.0
1,22:17:17.818758,22:17:24.355697,1,-1.0
1,22:17:17.818758,22:17:24.532517,1,-1.0
1,22:17:17.818758,22:17:24.699979,1,-1.0
1,22:17:17.818758,22:17:24.867181,1,-1.0
1,22:17:17.818758,22:17:25.044138,1,-1.0
1,22:17:17.818758,22:17:25.241742,1,-1.0
1,22:17:17.818758,22:17:25.408029,1,-1.0
1,22:17:17.818758,22:17:25.586816,1,-1.0
1,22:17:17.818758,22:17:25.743098,1,-1.0
1,22:17:17.818758,22:17:25.899253,1,-1.0
1,22:17:17.818758,22:17:26.076531,1,-1.0
1,22:17:17.818758,22:17:26.253593,1,-1.0
1,22:17:17.818758,22:17:26.420485,1,-1.0
1,22:17:17.818758,22:17:26.608889,1,-1.0
1,22:17:17.818758,22:17:26.805941,1,-1.0
1,22:17:17.818758,22:17:26.976502,1,-1.0
1,22:17:17.818758,22:17:27.162831,1,-1.0
1,22:17:17.818758,22:17:27.351090,1,-1.0
1,22:17:17.818758,22:17:27.540460,1,-1.0
1,22:17:17.818758,22:17:27.707241,1,-1.0
1,22:17:17.818758,22:17:27.924785,1,-1.0
1,22:17:17.818758,22:17:28.173316,1,-1.0
1,22:17:17.818758,22:17:28.361855,1,-1.0
1,22:17:17.818758,22:17:28.510153,-1,-1.0
1,22:17:17.818758,22:17:29.002270,-1,-1.0
1,22:17:17.818758,22:17:29.262640,-1,-1.0
1,22:17:17.818758,22:17:29.532827,-1,-1.0
1,22:17:17.818758,22:17:29.833153,-1,-1.0
1,22:17:17.818758,22:17:30.145079,-1,-1.0
1,22:17:17.818758,22:17:30.446365,-1,-1.0
1,22:17:17.818758,22:17:30.727243,-1,-1.0
1,22:17:17.818758,22:17:30.967050,-1,-1.0
1,22:17:17.818758,22:17:31.386630,1,-1.0
1,22:17:17.818758,22:17:31.573747,1,-1.0
1,22:17:17.818758,22:17:32.089069,-1,-1.0
1,22:17:17.818758,22:17:32.378449,-1,-1.0
1,22:17:17.818758,22:17:32.637204,-1,-1.0
1,22:17:17.818758,22:17:32.998094,1,-1.0
1,22:17:17.818758,22:17:33.181214,1,-1.0
1,22:17:17.818758,22:17:33.349765,1,-1.0
1,22:17:17.818758,22:17:33.496003,1,-1.0
1,22:17:17.818758,22:17:33.654991,1,-1.0
1,22:17:17.818758,22:17:33.820641,1,-1.0
1,22:17:17.818758,22:17:33.978683,1,-1.0
1,22:17:17.818758,22:17:34.137461,1,-1.0
1,22:17:17.818758,22:17:34.314281,1,-1.0
1,22:17:17.818758,22:17:34.511419,1,-1.0
1,22:17:17.818758,22:17:34.678091,1,-1.0
1,22:17:17.818758,22:17:34.865129,1,-1.0
1,22:17:17.818758,22:17:35.032164,1,-1.0
1,22:17:17.818758,22:17:35.231869,1,-1.0
1,22:17:17.818758,22:17:35.430395,1,-1.0
1,22:17:17.818758,22:17:35.598866,1,-1.0
1,22:17:17.818758,22:17:35.797855,1,-1.0
1,22:17:17.818758,22:17:35.974223,1,-1.0
1,22:17:17.818758,22:17:36.158208,1,-1.0
1,22:17:17.818758,22:17:36.334534,1,-1.0
1,22:17:17.818758,22:17:36.511742,1,-1.0
1,22:17:17.818758,22:17:36.690718,1,-1.0
1,22:17:17.818758,22:17:36.898268,1,-1.0
1,22:17:17.818758,22:17:37.240396,1,-1.0
1,22:17:17.818758,22:17:37.556841,-1,-1.0
1,22:17:17.818758,22:17:37.926391,-1,-1.0
1,22:17:17.818758,22:17:38.261504,-1,-1.0
1,22:17:17.818758,22:17:38.774877,-1,-1.0
1,22:17:17.818758,22:17:39.159076,1,-1.0
1,22:17:17.818758,22:17:39.347315,1,-1.0
1,22:17:17.818758,22:17:39.504108,1,-1.0
1,22:17:17.818758,22:17:39.670961,1,-1.0
1,22:17:17.818758,22:17:39.827307,1,-1.0
1,22:17:17.818758,22:17:39.993782,1,-1.0
1,22:17:17.818758,22:17:40.162953,1,-1.0
1,22:17:17.818758,22:17:40.309761,1,-1.0
1,22:17:17.818758,22:17:40.487101,1,-1.0
1,22:17:17.818758,22:17:40.635242,1,-1.0
1,22:17:17.818758,22:17:40.802055,1,-1.0
1,22:17:17.818758,22:17:40.998625,1,-1.0
1,22:17:17.818758,22:17:41.144439,1,-1.0
1,22:17:17.818758,22:17:41.321956,1,-1.0
1,22:17:17.818758,22:17:41.522456,1,-1.0
1,22:17:17.818758,22:17:41.730171,1,-1.0
1,22:17:17.818758,22:17:41.876323,1,-1.0
1,22:17:17.818758,22:17:42.078400,1,-1.0
1,22:17:17.818758,22:17:42.305763,1,-1.0
1,22:17:17.818758,22:17:42.495176,1,-1.0
1,22:17:17.818758,22:17:42.671466,1,-1.0
1,22:17:17.818758,22:17:42.869539,1,-1.0
1,22:17:17.818758,22:17:43.057052,1,-1.0
1,22:17:17.818758,22:17:43.233812,1,-1.0
1,22:17:17.818758,22:17:43.410731,1,-1.0
1,22:17:17.818758,22:17:43.597439,1,-1.0
1,22:17:17.818758,22:17:43.774501,1,-1.0
1,22:17:17.818758,22:17:43.951585,1,-1.0
1,22:17:17.818758,22:17:44.141776,1,-1.0
1,22:17:17.818758,22:17:44.298909,1,-1.0
1,22:17:17.818758,22:17:44.477384,1,-1.0
1,22:17:17.818758,22:17:44.655288,1,-1.0
1,22:17:17.818758,22:17:44.844085,1,-1.0
1,22:17:17.818758,22:17:45.021278,1,-1.0
1,22:17:17.818758,22:17:45.208208,1,-1.0
1,22:17:17.818758,22:17:45.374139,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,22:17:45.379281,22:17:48.334591,-1,-1.0
2,22:17:45.379281,22:17:48.502303,-1,-1.0
2,22:17:45.379281,22:17:48.699974,-1,-1.0
2,22:17:45.379281,22:17:48.878672,-1,-1.0
2,22:17:45.379281,22:17:49.393938,1,-1.0
2,22:17:45.379281,22:17:49.552180,1,-1.0
2,22:17:45.379281,22:17:49.719534,1,-1.0
2,22:17:45.379281,22:17:49.896534,1,-1.0
2,22:17:45.379281,22:17:50.043540,1,-1.0
2,22:17:45.379281,22:17:50.205830,1,-1.0
2,22:17:45.379281,22:17:50.371770,1,-1.0
2,22:17:45.379281,22:17:50.529123,1,-1.0
2,22:17:45.379281,22:17:50.696148,1,-1.0
2,22:17:45.379281,22:17:50.875125,1,-1.0
2,22:17:45.379281,22:17:51.062145,1,-1.0
2,22:17:45.379281,22:17:51.218984,1,-1.0
2,22:17:45.379281,22:17:51.411618,1,-1.0
2,22:17:45.379281,22:17:51.618471,1,-1.0
2,22:17:45.379281,22:17:51.827617,1,-1.0
2,22:17:45.379281,22:17:52.006231,1,-1.0
2,22:17:45.379281,22:17:52.224363,1,-1.0
2,22:17:45.379281,22:17:52.421819,1,-1.0
2,22:17:45.379281,22:17:52.609369,1,-1.0
2,22:17:45.379281,22:17:52.797215,1,-1.0
2,22:17:45.379281,22:17:52.975609,1,-1.0
2,22:17:45.379281,22:17:53.173845,1,-1.0
2,22:17:45.379281,22:17:53.361535,1,-1.0
2,22:17:45.379281,22:17:53.570225,1,-1.0
2,22:17:45.379281,22:17:53.768134,1,-1.0
2,22:17:45.379281,22:17:53.975721,1,-1.0
2,22:17:45.379281,22:17:54.153106,1,-1.0
2,22:17:45.379281,22:17:54.360453,1,-1.0
2,22:17:45.379281,22:17:54.587697,1,-1.0
2,22:17:45.379281,22:17:55.111939,-1,-1.0
2,22:17:45.379281,22:17:55.309405,-1,-1.0
2,22:17:45.379281,22:17:55.507240,-1,-1.0
2,22:17:45.379281,22:17:55.755634,-1,-1.0
2,22:17:45.379281,22:17:55.954357,-1,-1.0
2,22:17:45.379281,22:17:56.172447,1,-1.0
2,22:17:45.379281,22:17:56.349424,1,-1.0
2,22:17:45.379281,22:17:56.496707,1,-1.0
2,22:17:45.379281,22:17:56.663977,1,-1.0
