Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:51:24.401396,23:51:26.947149,1,-1.0
1,23:51:24.401396,23:51:28.260210,1,-1.0
1,23:51:24.401396,23:51:29.461616,1,-1.0
1,23:51:24.401396,23:51:31.061772,1,-1.0
1,23:51:24.401396,23:51:35.178723,-1,-1.0
1,23:51:24.401396,23:51:36.904139,-1,-1.0
1,23:51:24.401396,23:51:38.615551,-1,-1.0
1,23:51:24.401396,23:51:39.805734,1,-1.0
1,23:51:24.401396,23:51:41.085998,-1,-1.0
1,23:51:24.401396,23:51:41.926869,-1,-1.0
1,23:51:24.401396,23:51:42.562434,1,-1.0
1,23:51:24.401396,23:51:43.377161,1,-1.0
1,23:51:24.401396,23:51:44.254615,1,-1.0
1,23:51:24.401396,23:51:45.236239,1,-1.0
1,23:51:24.401396,23:51:46.215703,1,-1.0
1,23:51:24.401396,23:51:47.637393,1,-1.0
1,23:51:24.401396,23:51:48.991684,-1,-1.0
1,23:51:24.401396,23:51:50.818588,-1,-1.0
1,23:51:24.401396,23:51:51.668232,1,-1.0
1,23:51:24.401396,23:51:52.693095,1,-1.0
1,23:51:24.401396,23:51:53.746248,1,-1.0
1,23:51:24.401396,23:51:54.771114,1,-1.0
1,23:51:24.401396,23:51:55.755708,1,-1.0
1,23:51:24.401396,23:51:56.724114,1,-1.0
1,23:51:24.401396,23:51:57.984369,1,-1.0
1,23:51:24.401396,23:51:59.804482,-1,-1.0
1,23:51:24.401396,23:52:00.685697,1,-1.0
1,23:51:24.401396,23:52:01.345303,1,-1.0
1,23:51:24.401396,23:52:01.912821,1,-1.0
1,23:51:24.401396,23:52:02.606600,1,-1.0
1,23:51:24.401396,23:52:03.270777,1,-1.0
1,23:51:24.401396,23:52:03.943443,1,-1.0
1,23:51:24.401396,23:52:04.786545,1,-1.0
1,23:51:24.401396,23:52:05.779089,1,-1.0
1,23:51:24.401396,23:52:06.749183,1,-1.0
1,23:51:24.401396,23:52:07.902335,1,-1.0
1,23:51:24.401396,23:52:09.485426,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,23:52:09.491086,23:52:12.332113,1,-1.0
2,23:52:09.491086,23:52:13.195625,1,-1.0
2,23:52:09.491086,23:52:14.060036,1,-1.0
2,23:52:09.491086,23:52:15.007505,1,-1.0
2,23:52:09.491086,23:52:15.952520,1,-1.0
2,23:52:09.491086,23:52:16.903789,1,-1.0
2,23:52:09.491086,23:52:17.897700,1,-1.0
2,23:52:09.491086,23:52:20.178860,-1,-1.0
2,23:52:09.491086,23:52:20.728439,-1,-1.0
2,23:52:09.491086,23:52:22.446129,-1,-1.0
2,23:52:09.491086,23:52:23.063289,1,-1.0
2,23:52:09.491086,23:52:23.970732,1,-1.0
2,23:52:09.491086,23:52:25.039633,1,-1.0
2,23:52:09.491086,23:52:26.019417,1,-1.0
2,23:52:09.491086,23:52:27.082943,1,-1.0
2,23:52:09.491086,23:52:28.133437,1,-1.0
2,23:52:09.491086,23:52:29.182586,1,-1.0
2,23:52:09.491086,23:52:31.029820,1,-1.0
2,23:52:09.491086,23:52:31.774226,-1,-1.0
2,23:52:09.491086,23:52:33.301017,1,-1.0
2,23:52:09.491086,23:52:34.279971,1,-1.0
2,23:52:09.491086,23:52:34.766208,1,-1.0
2,23:52:09.491086,23:52:35.431918,1,-1.0
2,23:52:09.491086,23:52:36.443049,1,-1.0
2,23:52:09.491086,23:52:37.622761,1,-1.0
2,23:52:09.491086,23:52:42.665477,1,-1.0
