Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,21:43:25.395941,21:43:25.942459,1,-1.0
1,21:43:25.395941,21:43:26.338020,1,-1.0
1,21:43:25.395941,21:43:26.608319,1,-1.0
1,21:43:25.395941,21:43:26.958766,1,-1.0
1,21:43:25.395941,21:43:27.262898,1,-1.0
1,21:43:25.395941,21:43:27.583170,1,-1.0
1,21:43:25.395941,21:43:27.945795,1,-1.0
1,21:43:25.395941,21:43:28.295231,1,-1.0
1,21:43:25.395941,21:43:28.617284,1,-1.0
1,21:43:25.395941,21:43:28.928427,1,-1.0
1,21:43:25.395941,21:43:29.279660,1,-1.0
1,21:43:25.395941,21:43:29.592081,1,-1.0
1,21:43:25.395941,21:43:29.931756,1,-1.0
1,21:43:25.395941,21:43:30.270193,1,-1.0
1,21:43:25.395941,21:43:30.614571,1,-1.0
1,21:43:25.395941,21:43:30.942541,1,-1.0
1,21:43:25.395941,21:43:31.264389,1,-1.0
1,21:43:25.395941,21:43:31.608058,1,-1.0
1,21:43:25.395941,21:43:31.950014,1,-1.0
1,21:43:25.395941,21:43:32.264979,1,-1.0
1,21:43:25.395941,21:43:32.473609,1,-1.0
1,21:43:25.395941,21:43:32.629926,1,-1.0
1,21:43:25.395941,21:43:32.776220,1,-1.0
1,21:43:25.395941,21:43:32.922329,1,-1.0
1,21:43:25.395941,21:43:33.078681,1,-1.0
1,21:43:25.395941,21:43:33.215849,1,-1.0
1,21:43:25.395941,21:43:33.344021,1,-1.0
1,21:43:25.395941,21:43:33.480459,1,-1.0
1,21:43:25.395941,21:43:33.626409,1,-1.0
1,21:43:25.395941,21:43:33.762378,1,-1.0
1,21:43:25.395941,21:43:33.888263,1,-1.0
1,21:43:25.395941,21:43:34.034370,1,-1.0
1,21:43:25.395941,21:43:34.180740,1,-1.0
1,21:43:25.395941,21:43:34.316579,1,-1.0
1,21:43:25.395941,21:43:34.472653,1,-1.0
1,21:43:25.395941,21:43:34.649091,1,-1.0
1,21:43:25.395941,21:43:34.983856,1,-1.0
1,21:43:25.395941,21:43:37.635476,-1,-1.0
1,21:43:25.395941,21:43:37.802536,-1,-1.0
1,21:43:25.395941,21:43:37.958837,-1,-1.0
1,21:43:25.395941,21:43:38.218608,-1,-1.0
1,21:43:25.395941,21:43:38.405864,-1,-1.0
1,21:43:25.395941,21:43:38.582788,-1,-1.0
1,21:43:25.395941,21:43:38.800789,-1,-1.0
1,21:43:25.395941,21:43:38.999226,-1,-1.0
1,21:43:25.395941,21:43:39.186938,-1,-1.0
1,21:43:25.395941,21:43:39.404854,-1,-1.0
1,21:43:25.395941,21:43:39.642518,-1,-1.0
1,21:43:25.395941,21:43:39.884790,-1,-1.0
1,21:43:25.395941,21:43:40.082458,-1,-1.0
1,21:43:25.395941,21:43:42.127676,-1,-1.0
1,21:43:25.395941,21:43:42.242936,-1,-1.0
1,21:43:25.395941,21:43:42.543677,1,-1.0
1,21:43:25.395941,21:43:42.689944,1,-1.0
1,21:43:25.395941,21:43:42.825879,1,-1.0
1,21:43:25.395941,21:43:42.941649,1,-1.0
1,21:43:25.395941,21:43:43.088422,1,-1.0
1,21:43:25.395941,21:43:43.214033,1,-1.0
1,21:43:25.395941,21:43:43.360764,1,-1.0
1,21:43:25.395941,21:43:43.506990,1,-1.0
1,21:43:25.395941,21:43:43.643730,1,-1.0
1,21:43:25.395941,21:43:43.779835,1,-1.0
1,21:43:25.395941,21:43:43.919315,1,-1.0
1,21:43:25.395941,21:43:44.055466,1,-1.0
1,21:43:25.395941,21:43:44.202319,1,-1.0
1,21:43:25.395941,21:43:44.358533,1,-1.0
1,21:43:25.395941,21:43:44.493943,1,-1.0
1,21:43:25.395941,21:43:44.629247,1,-1.0
1,21:43:25.395941,21:43:44.780577,1,-1.0
1,21:43:25.395941,21:43:44.916261,1,-1.0
1,21:43:25.395941,21:43:45.052169,1,-1.0
1,21:43:25.395941,21:43:45.198148,1,-1.0
1,21:43:25.395941,21:43:45.335784,1,-1.0
1,21:43:25.395941,21:43:45.488750,1,-1.0
1,21:43:25.395941,21:43:45.624251,1,-1.0
1,21:43:25.395941,21:43:45.759891,1,-1.0
1,21:43:25.395941,21:43:45.905899,1,-1.0
1,21:43:25.395941,21:43:46.062852,1,-1.0
1,21:43:25.395941,21:43:46.270686,1,-1.0
1,21:43:25.395941,21:43:46.428344,1,-1.0
1,21:43:25.395941,21:43:46.596412,1,-1.0
1,21:43:25.395941,21:43:46.742071,1,-1.0
1,21:43:25.395941,21:43:47.698338,-1,-1.0
1,21:43:25.395941,21:43:48.192477,-1,-1.0
1,21:43:25.395941,21:43:48.707838,-1,-1.0
1,21:43:25.395941,21:43:49.090917,-1,-1.0
1,21:43:25.395941,21:43:49.441632,-1,-1.0
1,21:43:25.395941,21:43:49.801069,-1,-1.0
1,21:43:25.395941,21:43:50.859051,1,-1.0
1,21:43:25.395941,21:43:51.005745,1,-1.0
1,21:43:25.395941,21:43:51.182467,1,-1.0
1,21:43:25.395941,21:43:51.339154,1,-1.0
1,21:43:25.395941,21:43:51.485073,1,-1.0
1,21:43:25.395941,21:43:51.631232,1,-1.0
1,21:43:25.395941,21:43:51.777556,1,-1.0
1,21:43:25.395941,21:43:51.923407,1,-1.0
1,21:43:25.395941,21:43:52.089914,1,-1.0
1,21:43:25.395941,21:43:52.225613,1,-1.0
1,21:43:25.395941,21:43:52.361095,1,-1.0
1,21:43:25.395941,21:43:52.506946,1,-1.0
1,21:43:25.395941,21:43:52.642482,1,-1.0
1,21:43:25.395941,21:43:52.788746,1,-1.0
1,21:43:25.395941,21:43:52.924957,1,-1.0
1,21:43:25.395941,21:43:53.071543,1,-1.0
1,21:43:25.395941,21:43:53.227701,1,-1.0
1,21:43:25.395941,21:43:53.374492,1,-1.0
1,21:43:25.395941,21:43:53.521237,1,-1.0
1,21:43:25.395941,21:43:53.667750,1,-1.0
1,21:43:25.395941,21:43:53.824181,1,-1.0
1,21:43:25.395941,21:43:53.980233,1,-1.0
1,21:43:25.395941,21:43:54.126424,1,-1.0
1,21:43:25.395941,21:43:54.273318,1,-1.0
1,21:43:25.395941,21:43:54.429433,1,-1.0
1,21:43:25.395941,21:43:54.575042,1,-1.0
1,21:43:25.395941,21:43:54.732301,1,-1.0
1,21:43:25.395941,21:43:54.939636,1,-1.0
1,21:43:25.395941,21:43:55.687127,-1,-1.0
1,21:43:25.395941,21:43:56.037139,-1,-1.0
1,21:43:25.395941,21:43:56.356657,-1,-1.0
1,21:43:25.395941,21:43:56.696543,-1,-1.0
1,21:43:25.395941,21:43:56.980725,-1,-1.0
1,21:43:25.395941,21:43:57.302592,-1,-1.0
1,21:43:25.395941,21:43:58.869354,-1,-1.0
1,21:43:25.395941,21:43:59.657434,1,-1.0
1,21:43:25.395941,21:43:59.782810,1,-1.0
1,21:43:25.395941,21:43:59.928671,1,-1.0
1,21:43:25.395941,21:44:00.065344,1,-1.0
1,21:43:25.395941,21:44:00.201208,1,-1.0
1,21:43:25.395941,21:44:00.337801,1,-1.0
1,21:43:25.395941,21:44:00.473765,1,-1.0
1,21:43:25.395941,21:44:00.620401,1,-1.0
1,21:43:25.395941,21:44:00.766562,1,-1.0
1,21:43:25.395941,21:44:00.912727,1,-1.0
1,21:43:25.395941,21:44:01.058765,1,-1.0
1,21:43:25.395941,21:44:01.195842,1,-1.0
1,21:43:25.395941,21:44:01.342448,1,-1.0
1,21:43:25.395941,21:44:01.488781,1,-1.0
1,21:43:25.395941,21:44:01.655219,1,-1.0
1,21:43:25.395941,21:44:01.821656,1,-1.0
1,21:43:25.395941,21:44:01.988217,1,-1.0
1,21:43:25.395941,21:44:02.134074,1,-1.0
1,21:43:25.395941,21:44:02.311286,1,-1.0
1,21:43:25.395941,21:44:02.478337,1,-1.0
1,21:43:25.395941,21:44:02.645353,1,-1.0
1,21:43:25.395941,21:44:02.802496,1,-1.0
1,21:43:25.395941,21:44:02.948700,1,-1.0
1,21:43:25.395941,21:44:03.095757,1,-1.0
1,21:43:25.395941,21:44:03.252331,1,-1.0
1,21:43:25.395941,21:44:03.408796,1,-1.0
1,21:43:25.395941,21:44:03.575420,1,-1.0
1,21:43:25.395941,21:44:03.731533,1,-1.0
1,21:43:25.395941,21:44:03.908119,1,-1.0
1,21:43:25.395941,21:44:04.084618,1,-1.0
1,21:43:25.395941,21:44:04.261240,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,21:44:04.266501,21:44:08.072936,-1,-1.0
2,21:44:04.266501,21:44:08.566746,-1,-1.0
2,21:44:04.266501,21:44:09.785108,1,-1.0
2,21:44:04.266501,21:44:09.920402,1,-1.0
2,21:44:04.266501,21:44:10.045830,1,-1.0
2,21:44:04.266501,21:44:10.305443,1,-1.0
2,21:44:04.266501,21:44:10.625153,1,-1.0
2,21:44:04.266501,21:44:10.926385,1,-1.0
2,21:44:04.266501,21:44:11.175545,1,-1.0
2,21:44:04.266501,21:44:11.466093,1,-1.0
2,21:44:04.266501,21:44:11.829169,1,-1.0
2,21:44:04.266501,21:44:11.995420,1,-1.0
2,21:44:04.266501,21:44:12.141249,1,-1.0
2,21:44:04.266501,21:44:12.277347,1,-1.0
2,21:44:04.266501,21:44:12.403030,1,-1.0
2,21:44:04.266501,21:44:12.539530,1,-1.0
2,21:44:04.266501,21:44:12.686017,1,-1.0
2,21:44:04.266501,21:44:12.811304,1,-1.0
2,21:44:04.266501,21:44:12.947099,1,-1.0
2,21:44:04.266501,21:44:13.083009,1,-1.0
2,21:44:04.266501,21:44:13.228981,1,-1.0
