Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:03:39.759889,23:03:41.801482,1,-1.0
1,23:03:39.759889,23:03:42.186915,1,-1.0
1,23:03:39.759889,23:03:42.611317,1,-1.0
1,23:03:39.759889,23:03:43.293957,-1,-1.0
1,23:03:39.759889,23:03:43.517397,-1,-1.0
1,23:03:39.759889,23:03:43.745976,-1,-1.0
1,23:03:39.759889,23:03:43.964141,-1,-1.0
1,23:03:39.759889,23:03:44.440355,1,-1.0
1,23:03:39.759889,23:03:44.607261,1,-1.0
1,23:03:39.759889,23:03:44.753409,1,-1.0
1,23:03:39.759889,23:03:44.899648,1,-1.0
1,23:03:39.759889,23:03:45.025395,1,-1.0
1,23:03:39.759889,23:03:45.161123,1,-1.0
1,23:03:39.759889,23:03:45.307550,1,-1.0
1,23:03:39.759889,23:03:45.431068,1,-1.0
1,23:03:39.759889,23:03:45.577120,1,-1.0
1,23:03:39.759889,23:03:45.702990,1,-1.0
1,23:03:39.759889,23:03:45.943471,1,-1.0
1,23:03:39.759889,23:03:46.049641,1,-1.0
1,23:03:39.759889,23:03:46.157081,1,-1.0
1,23:03:39.759889,23:03:46.287701,1,-1.0
1,23:03:39.759889,23:03:46.395387,1,-1.0
1,23:03:39.759889,23:03:46.513347,1,-1.0
1,23:03:39.759889,23:03:46.609440,1,-1.0
1,23:03:39.759889,23:03:46.735456,1,-1.0
1,23:03:39.759889,23:03:46.846478,1,-1.0
1,23:03:39.759889,23:03:46.984329,1,-1.0
1,23:03:39.759889,23:03:47.123952,1,-1.0
1,23:03:39.759889,23:03:47.260802,1,-1.0
1,23:03:39.759889,23:03:47.387252,1,-1.0
1,23:03:39.759889,23:03:47.502300,1,-1.0
1,23:03:39.759889,23:03:47.722371,1,-1.0
1,23:03:39.759889,23:03:47.869651,1,-1.0
1,23:03:39.759889,23:03:47.995121,1,-1.0
1,23:03:39.759889,23:03:48.120757,1,-1.0
1,23:03:39.759889,23:03:48.267909,1,-1.0
1,23:03:39.759889,23:03:48.403171,1,-1.0
1,23:03:39.759889,23:03:48.518481,1,-1.0
1,23:03:39.759889,23:03:48.655174,1,-1.0
1,23:03:39.759889,23:03:48.777727,1,-1.0
1,23:03:39.759889,23:03:48.882737,1,-1.0
1,23:03:39.759889,23:03:49.009008,1,-1.0
1,23:03:39.759889,23:03:49.154997,1,-1.0
1,23:03:39.759889,23:03:49.270361,1,-1.0
1,23:03:39.759889,23:03:49.375333,1,-1.0
1,23:03:39.759889,23:03:49.619597,-1,-1.0
1,23:03:39.759889,23:03:50.071063,-1,-1.0
1,23:03:39.759889,23:03:50.371084,-1,-1.0
1,23:03:39.759889,23:03:50.672566,-1,-1.0
1,23:03:39.759889,23:03:50.982520,-1,-1.0
1,23:03:39.759889,23:03:51.298111,-1,-1.0
1,23:03:39.759889,23:03:51.620678,-1,-1.0
1,23:03:39.759889,23:03:51.930592,-1,-1.0
1,23:03:39.759889,23:03:52.413130,1,-1.0
1,23:03:39.759889,23:03:52.572032,1,-1.0
1,23:03:39.759889,23:03:52.739971,1,-1.0
1,23:03:39.759889,23:03:52.866699,1,-1.0
1,23:03:39.759889,23:03:53.002826,1,-1.0
1,23:03:39.759889,23:03:53.138843,1,-1.0
1,23:03:39.759889,23:03:53.275014,1,-1.0
1,23:03:39.759889,23:03:53.410825,1,-1.0
1,23:03:39.759889,23:03:53.547605,1,-1.0
1,23:03:39.759889,23:03:53.674461,1,-1.0
1,23:03:39.759889,23:03:53.790035,1,-1.0
1,23:03:39.759889,23:03:53.914295,1,-1.0
1,23:03:39.759889,23:03:54.011194,1,-1.0
1,23:03:39.759889,23:03:54.122786,1,-1.0
1,23:03:39.759889,23:03:54.217493,1,-1.0
1,23:03:39.759889,23:03:54.332716,1,-1.0
1,23:03:39.759889,23:03:54.448114,1,-1.0
1,23:03:39.759889,23:03:54.553473,1,-1.0
1,23:03:39.759889,23:03:54.658526,1,-1.0
1,23:03:39.759889,23:03:54.774927,1,-1.0
