Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,21:39:29.022720,21:39:34.410363,1,-1.0
1,21:39:29.022720,21:39:34.945231,1,-1.0
1,21:39:29.022720,21:39:38.310059,-1,-1.0
1,21:39:29.022720,21:39:39.578832,1,-1.0
1,21:39:29.022720,21:39:39.943887,1,-1.0
1,21:39:29.022720,21:39:40.399234,1,-1.0
1,21:39:29.022720,21:39:44.283803,-1,-1.0
1,21:39:29.022720,21:39:44.588279,-1,-1.0
1,21:39:29.022720,21:39:44.977929,-1,-1.0
1,21:39:29.022720,21:39:45.522943,-1,-1.0
1,21:39:29.022720,21:39:46.181362,-1,-1.0
1,21:39:29.022720,21:39:46.817163,-1,-1.0
1,21:39:29.022720,21:39:55.541842,1,-1.0
1,21:39:29.022720,21:39:56.317415,1,-1.0
1,21:39:29.022720,21:39:56.960594,1,-1.0
1,21:39:29.022720,21:39:57.806871,1,-1.0
1,21:39:29.022720,21:39:58.555037,1,-1.0
1,21:39:29.022720,21:39:59.361665,1,-1.0
1,21:39:29.022720,21:40:00.252603,1,-1.0
1,21:39:29.022720,21:40:01.027780,1,-1.0
1,21:39:29.022720,21:40:02.449336,-1,-1.0
1,21:39:29.022720,21:40:04.821286,-1,-1.0
1,21:39:29.022720,21:40:07.580056,1,-1.0
1,21:39:29.022720,21:40:08.243382,1,-1.0
1,21:39:29.022720,21:40:08.900430,1,-1.0
1,21:39:29.022720,21:40:09.571384,1,-1.0
1,21:39:29.022720,21:40:10.230023,1,-1.0
1,21:39:29.022720,21:40:11.030726,1,-1.0
1,21:39:29.022720,21:40:12.117078,1,-1.0
1,21:39:29.022720,21:40:18.727015,-1,-1.0
1,21:39:29.022720,21:40:22.411922,-1,-1.0
1,21:39:29.022720,21:40:24.146188,1,-1.0
1,21:39:29.022720,21:40:24.754038,1,-1.0
1,21:39:29.022720,21:40:25.651795,1,-1.0
1,21:39:29.022720,21:40:26.549321,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,21:40:26.877398,21:40:29.345744,1,-1.0
2,21:40:26.877398,21:40:30.181990,1,-1.0
2,21:40:26.877398,21:40:30.998004,1,-1.0
2,21:40:26.877398,21:40:31.972785,1,-1.0
2,21:40:26.877398,21:40:32.393422,1,-1.0
2,21:40:26.877398,21:40:32.773929,1,-1.0
2,21:40:26.877398,21:40:33.121379,1,-1.0
2,21:40:26.877398,21:40:33.389677,1,-1.0
