Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:24:43.229920,00:24:47.560553,1,-1.0
1,00:24:43.229920,00:24:49.037307,1,-1.0
1,00:24:43.229920,00:24:49.794916,1,-1.0
1,00:24:43.229920,00:24:51.152693,1,-1.0
1,00:24:43.229920,00:24:52.505727,1,-1.0
1,00:24:43.229920,00:24:53.858302,1,-1.0
1,00:24:43.229920,00:24:57.505590,-1,-1.0
1,00:24:43.229920,00:24:58.090103,-1,-1.0
1,00:24:43.229920,00:24:59.276702,-1,-1.0
1,00:24:43.229920,00:25:00.390436,-1,-1.0
1,00:24:43.229920,00:25:01.421886,-1,-1.0
1,00:24:43.229920,00:25:03.135069,1,-1.0
1,00:24:43.229920,00:25:04.046841,1,-1.0
1,00:24:43.229920,00:25:05.043643,1,-1.0
1,00:24:43.229920,00:25:05.890973,1,-1.0
1,00:24:43.229920,00:25:06.840645,1,-1.0
1,00:24:43.229920,00:25:07.733635,1,-1.0
1,00:24:43.229920,00:25:08.658226,1,-1.0
1,00:24:43.229920,00:25:11.184373,-1,-1.0
1,00:24:43.229920,00:25:11.947622,-1,-1.0
1,00:24:43.229920,00:25:12.724244,-1,-1.0
1,00:24:43.229920,00:25:13.502657,1,-1.0
1,00:24:43.229920,00:25:14.252031,1,-1.0
1,00:24:43.229920,00:25:15.008055,1,-1.0
1,00:24:43.229920,00:25:15.845060,1,-1.0
1,00:24:43.229920,00:25:16.625522,1,-1.0
1,00:24:43.229920,00:25:17.446783,1,-1.0
1,00:24:43.229920,00:25:18.335525,1,-1.0
1,00:24:43.229920,00:25:19.188272,1,-1.0
1,00:24:43.229920,00:25:20.227336,1,-1.0
1,00:24:43.229920,00:25:21.831497,-1,-1.0
1,00:24:43.229920,00:25:22.354581,-1,-1.0
1,00:24:43.229920,00:25:22.770359,1,-1.0
1,00:24:43.229920,00:25:23.429925,1,-1.0
1,00:24:43.229920,00:25:24.037433,1,-1.0
1,00:24:43.229920,00:25:24.583177,1,-1.0
1,00:24:43.229920,00:25:25.110573,1,-1.0
1,00:24:43.229920,00:25:25.571807,1,-1.0
1,00:24:43.229920,00:25:26.089069,1,-1.0
1,00:24:43.229920,00:25:26.783317,1,-1.0
1,00:24:43.229920,00:25:27.431694,1,-1.0
1,00:24:43.229920,00:25:27.873548,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
