Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,20:51:31.772773,20:51:37.042982,1,-1.0
1,20:51:31.772773,20:51:37.700410,1,-1.0
1,20:51:31.772773,20:51:38.055454,1,-1.0
1,20:51:31.772773,20:51:38.394215,1,-1.0
1,20:51:31.772773,20:51:38.606120,1,-1.0
1,20:51:31.772773,20:51:38.813826,1,-1.0
1,20:51:31.772773,20:51:39.114775,1,-1.0
1,20:51:31.772773,20:51:39.429972,1,-1.0
1,20:51:31.772773,20:51:39.626630,1,-1.0
1,20:51:31.772773,20:51:39.819111,1,-1.0
1,20:51:31.772773,20:51:39.995901,1,-1.0
1,20:51:31.772773,20:51:40.182555,1,-1.0
1,20:51:31.772773,20:51:40.364666,1,-1.0
1,20:51:31.772773,20:51:40.551650,1,-1.0
1,20:51:31.772773,20:51:40.734065,1,-1.0
1,20:51:31.772773,20:51:40.910880,1,-1.0
1,20:51:31.772773,20:51:41.097586,1,-1.0
1,20:51:31.772773,20:51:41.284577,1,-1.0
1,20:51:31.772773,20:51:41.461043,1,-1.0
1,20:51:31.772773,20:51:41.647887,1,-1.0
1,20:51:31.772773,20:51:41.834408,1,-1.0
1,20:51:31.772773,20:51:42.021222,1,-1.0
1,20:51:31.772773,20:51:42.213934,1,-1.0
1,20:51:31.772773,20:51:42.390577,1,-1.0
1,20:51:31.772773,20:51:42.552784,1,-1.0
1,20:51:31.772773,20:51:42.832301,-1,-1.0
1,20:51:31.772773,20:51:43.101711,-1,-1.0
1,20:51:31.772773,20:51:43.335072,-1,-1.0
1,20:51:31.772773,20:51:43.521715,-1,-1.0
1,20:51:31.772773,20:51:43.711424,-1,-1.0
1,20:51:31.772773,20:51:43.910935,-1,-1.0
1,20:51:31.772773,20:51:44.087332,-1,-1.0
1,20:51:31.772773,20:51:44.304754,-1,-1.0
1,20:51:31.772773,20:51:44.589349,-1,-1.0
1,20:51:31.772773,20:51:45.022253,1,-1.0
1,20:51:31.772773,20:51:45.996436,-1,-1.0
1,20:51:31.772773,20:51:46.464053,1,-1.0
1,20:51:31.772773,20:51:46.712712,1,-1.0
1,20:51:31.772773,20:51:47.097247,1,-1.0
1,20:51:31.772773,20:51:47.355823,1,-1.0
1,20:51:31.772773,20:51:47.559768,1,-1.0
1,20:51:31.772773,20:51:48.962172,1,-1.0
1,20:51:31.772773,20:51:49.140901,1,-1.0
1,20:51:31.772773,20:51:49.329739,1,-1.0
1,20:51:31.772773,20:51:49.517138,1,-1.0
1,20:51:31.772773,20:51:49.709920,1,-1.0
1,20:51:31.772773,20:51:49.902154,1,-1.0
1,20:51:31.772773,20:51:50.099485,1,-1.0
1,20:51:31.772773,20:51:50.276449,1,-1.0
1,20:51:31.772773,20:51:50.465638,1,-1.0
1,20:51:31.772773,20:51:50.662677,1,-1.0
1,20:51:31.772773,20:51:50.849420,1,-1.0
1,20:51:31.772773,20:51:51.042213,1,-1.0
1,20:51:31.772773,20:51:51.235332,1,-1.0
1,20:51:31.772773,20:51:51.438174,1,-1.0
1,20:51:31.772773,20:51:51.646302,1,-1.0
1,20:51:31.772773,20:51:51.843986,1,-1.0
1,20:51:31.772773,20:51:52.041262,1,-1.0
1,20:51:31.772773,20:51:52.251127,1,-1.0
1,20:51:31.772773,20:51:52.443643,1,-1.0
1,20:51:31.772773,20:51:52.650614,1,-1.0
1,20:51:31.772773,20:51:52.857922,1,-1.0
1,20:51:31.772773,20:51:53.060428,1,-1.0
1,20:51:31.772773,20:51:53.269041,1,-1.0
1,20:51:31.772773,20:51:53.472082,1,-1.0
1,20:51:31.772773,20:51:53.566778,-1,-1.0
1,20:51:31.772773,20:51:53.796559,-1,-1.0
1,20:51:31.772773,20:51:53.988860,-1,-1.0
1,20:51:31.772773,20:51:54.165431,-1,-1.0
1,20:51:31.772773,20:51:54.378548,-1,-1.0
1,20:51:31.772773,20:51:54.555268,-1,-1.0
1,20:51:31.772773,20:51:54.742639,-1,-1.0
1,20:51:31.772773,20:51:54.963091,-1,-1.0
1,20:51:31.772773,20:51:55.073689,1,-1.0
1,20:51:31.772773,20:51:55.321843,1,-1.0
1,20:51:31.772773,20:51:55.602201,-1,-1.0
1,20:51:31.772773,20:51:55.997477,-1,-1.0
1,20:51:31.772773,20:51:56.317948,1,-1.0
1,20:51:31.772773,20:51:56.531259,1,-1.0
1,20:51:31.772773,20:51:56.717986,1,-1.0
1,20:51:31.772773,20:51:56.904726,1,-1.0
1,20:51:31.772773,20:51:57.107224,1,-1.0
1,20:51:31.772773,20:51:57.304444,1,-1.0
1,20:51:31.772773,20:51:57.507134,1,-1.0
1,20:51:31.772773,20:51:57.698998,1,-1.0
1,20:51:31.772773,20:51:57.886164,1,-1.0
1,20:51:31.772773,20:51:58.083246,1,-1.0
1,20:51:31.772773,20:51:58.275853,1,-1.0
1,20:51:31.772773,20:51:58.474550,1,-1.0
1,20:51:31.772773,20:51:58.672273,1,-1.0
1,20:51:31.772773,20:51:58.862175,1,-1.0
1,20:51:31.772773,20:51:59.068980,1,-1.0
1,20:51:31.772773,20:51:59.255754,1,-1.0
1,20:51:31.772773,20:51:59.452855,1,-1.0
1,20:51:31.772773,20:51:59.660144,1,-1.0
1,20:51:31.772773,20:51:59.857655,1,-1.0
1,20:51:31.772773,20:52:00.045589,1,-1.0
1,20:51:31.772773,20:52:00.243417,1,-1.0
