Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:14:45.279062,23:14:46.927305,-1,-1.0
1,23:14:45.279062,23:14:47.331684,-1,-1.0
1,23:14:45.279062,23:14:47.820674,1,-1.0
1,23:14:45.279062,23:14:47.987530,1,-1.0
1,23:14:45.279062,23:14:48.133377,1,-1.0
1,23:14:45.279062,23:14:48.300859,1,-1.0
1,23:14:45.279062,23:14:48.446766,1,-1.0
1,23:14:45.279062,23:14:48.593415,1,-1.0
1,23:14:45.279062,23:14:48.729298,1,-1.0
1,23:14:45.279062,23:14:48.875762,1,-1.0
1,23:14:45.279062,23:14:49.022822,1,-1.0
1,23:14:45.279062,23:14:49.169117,1,-1.0
1,23:14:45.279062,23:14:49.315971,1,-1.0
1,23:14:45.279062,23:14:49.471908,1,-1.0
1,23:14:45.279062,23:14:49.628381,1,-1.0
1,23:14:45.279062,23:14:49.744185,1,-1.0
1,23:14:45.279062,23:14:49.901683,1,-1.0
1,23:14:45.279062,23:14:50.048533,1,-1.0
1,23:14:45.279062,23:14:50.206063,1,-1.0
1,23:14:45.279062,23:14:50.342253,1,-1.0
1,23:14:45.279062,23:14:50.489165,1,-1.0
1,23:14:45.279062,23:14:50.635525,1,-1.0
1,23:14:45.279062,23:14:50.782765,1,-1.0
1,23:14:45.279062,23:14:50.942833,1,-1.0
1,23:14:45.279062,23:14:51.099538,1,-1.0
1,23:14:45.279062,23:14:51.237831,1,-1.0
1,23:14:45.279062,23:14:51.382588,1,-1.0
1,23:14:45.279062,23:14:51.550211,1,-1.0
1,23:14:45.279062,23:14:51.716668,1,-1.0
1,23:14:45.279062,23:14:51.874194,1,-1.0
1,23:14:45.279062,23:14:52.022542,1,-1.0
1,23:14:45.279062,23:14:52.178582,1,-1.0
1,23:14:45.279062,23:14:52.316016,1,-1.0
1,23:14:45.279062,23:14:52.474134,1,-1.0
1,23:14:45.279062,23:14:52.630324,1,-1.0
1,23:14:45.279062,23:14:52.777011,1,-1.0
1,23:14:45.279062,23:14:52.929069,1,-1.0
1,23:14:45.279062,23:14:53.075204,1,-1.0
1,23:14:45.279062,23:14:53.243996,1,-1.0
1,23:14:45.279062,23:14:53.390354,1,-1.0
1,23:14:45.279062,23:14:53.549442,1,-1.0
1,23:14:45.279062,23:14:53.715752,1,-1.0
1,23:14:45.279062,23:14:53.882884,1,-1.0
1,23:14:45.279062,23:14:54.039897,1,-1.0
1,23:14:45.279062,23:14:54.206246,1,-1.0
1,23:14:45.279062,23:14:54.372806,1,-1.0
1,23:14:45.279062,23:14:54.539956,1,-1.0
1,23:14:45.279062,23:14:54.696154,1,-1.0
1,23:14:45.279062,23:14:54.852737,1,-1.0
1,23:14:45.279062,23:14:55.175536,-1,-1.0
1,23:14:45.279062,23:14:55.572461,-1,-1.0
1,23:14:45.279062,23:14:55.947562,-1,-1.0
1,23:14:45.279062,23:14:56.299489,-1,-1.0
1,23:14:45.279062,23:14:56.614639,-1,-1.0
1,23:14:45.279062,23:14:56.773686,-1,-1.0
1,23:14:45.279062,23:14:56.909914,-1,-1.0
1,23:14:45.279062,23:14:57.066209,-1,-1.0
1,23:14:45.279062,23:14:57.219503,-1,-1.0
1,23:14:45.279062,23:14:57.386083,-1,-1.0
1,23:14:45.279062,23:14:57.624423,-1,-1.0
1,23:14:45.279062,23:14:57.914627,-1,-1.0
1,23:14:45.279062,23:14:58.153893,-1,-1.0
1,23:14:45.279062,23:14:58.412843,-1,-1.0
1,23:14:45.279062,23:14:58.703053,-1,-1.0
1,23:14:45.279062,23:14:59.084653,1,-1.0
1,23:14:45.279062,23:14:59.255890,1,-1.0
1,23:14:45.279062,23:14:59.709560,1,-1.0
1,23:14:45.279062,23:14:59.794624,-1,-1.0
1,23:14:45.279062,23:15:00.076148,-1,-1.0
1,23:14:45.279062,23:15:00.304543,-1,-1.0
1,23:14:45.279062,23:15:00.564361,-1,-1.0
1,23:14:45.279062,23:15:00.782819,-1,-1.0
1,23:14:45.279062,23:15:01.020736,-1,-1.0
1,23:14:45.279062,23:15:01.230118,-1,-1.0
1,23:14:45.279062,23:15:01.479920,-1,-1.0
1,23:14:45.279062,23:15:01.718309,-1,-1.0
1,23:14:45.279062,23:15:02.190931,-1,-1.0
1,23:14:45.279062,23:15:02.563140,-1,-1.0
1,23:14:45.279062,23:15:02.913562,-1,-1.0
1,23:14:45.279062,23:15:03.347701,-1,-1.0
1,23:14:45.279062,23:15:03.816010,-1,-1.0
1,23:14:45.279062,23:15:04.308190,1,-1.0
1,23:14:45.279062,23:15:04.485913,1,-1.0
1,23:14:45.279062,23:15:04.642222,1,-1.0
1,23:14:45.279062,23:15:04.789141,1,-1.0
1,23:14:45.279062,23:15:04.945119,1,-1.0
1,23:14:45.279062,23:15:05.111739,1,-1.0
1,23:14:45.279062,23:15:05.268878,1,-1.0
1,23:14:45.279062,23:15:05.437297,1,-1.0
1,23:14:45.279062,23:15:05.584215,1,-1.0
1,23:14:45.279062,23:15:05.761915,1,-1.0
1,23:14:45.279062,23:15:05.918700,1,-1.0
1,23:14:45.279062,23:15:06.099343,1,-1.0
1,23:14:45.279062,23:15:06.275865,1,-1.0
1,23:14:45.279062,23:15:06.466203,1,-1.0
1,23:14:45.279062,23:15:06.635254,1,-1.0
1,23:14:45.279062,23:15:06.784464,1,-1.0
1,23:14:45.279062,23:15:06.962600,1,-1.0
1,23:14:45.279062,23:15:07.129325,1,-1.0
1,23:14:45.279062,23:15:07.309966,1,-1.0
