Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,20:56:55.791910,20:56:57.101781,1,-1.0
1,20:56:55.791910,20:56:57.351402,1,-1.0
1,20:56:55.791910,20:56:57.584625,1,-1.0
1,20:56:55.791910,20:56:57.802355,1,-1.0
1,20:56:55.791910,20:56:58.030317,1,-1.0
1,20:56:55.791910,20:56:58.238924,1,-1.0
1,20:56:55.791910,20:56:58.451578,1,-1.0
1,20:56:55.791910,20:56:58.648508,1,-1.0
1,20:56:55.791910,20:56:58.845359,1,-1.0
1,20:56:55.791910,20:56:59.031841,1,-1.0
1,20:56:55.791910,20:56:59.208195,1,-1.0
1,20:56:55.791910,20:56:59.384824,1,-1.0
1,20:56:55.791910,20:56:59.571901,1,-1.0
1,20:56:55.791910,20:56:59.748468,1,-1.0
1,20:56:55.791910,20:56:59.945537,1,-1.0
1,20:56:55.791910,20:57:00.142256,1,-1.0
1,20:56:55.791910,20:57:00.335205,1,-1.0
1,20:56:55.791910,20:57:00.511725,1,-1.0
1,20:56:55.791910,20:57:00.709497,1,-1.0
1,20:56:55.791910,20:57:00.902117,1,-1.0
1,20:56:55.791910,20:57:01.119664,1,-1.0
1,20:56:55.791910,20:57:01.326852,1,-1.0
1,20:56:55.791910,20:57:01.524069,1,-1.0
1,20:56:55.791910,20:57:01.721461,1,-1.0
1,20:56:55.791910,20:57:01.921195,1,-1.0
1,20:56:55.791910,20:57:02.108982,1,-1.0
1,20:56:55.791910,20:57:02.301259,1,-1.0
1,20:56:55.791910,20:57:02.504232,1,-1.0
1,20:56:55.791910,20:57:02.722135,1,-1.0
1,20:56:55.791910,20:57:02.960336,1,-1.0
1,20:56:55.791910,20:57:03.198315,1,-1.0
1,20:56:55.791910,20:57:03.452703,1,-1.0
1,20:56:55.791910,20:57:03.784528,1,-1.0
1,20:56:55.791910,20:57:04.006418,1,-1.0
1,20:56:55.791910,20:57:04.530984,1,-1.0
1,20:56:55.791910,20:57:04.743891,1,-1.0
1,20:56:55.791910,20:57:05.022849,1,-1.0
1,20:56:55.791910,20:57:05.245789,1,-1.0
1,20:56:55.791910,20:57:05.458892,1,-1.0
1,20:56:55.791910,20:57:05.848440,-1,-1.0
1,20:56:55.791910,20:57:06.025107,-1,-1.0
1,20:56:55.791910,20:57:06.242926,-1,-1.0
1,20:56:55.791910,20:57:06.466054,-1,-1.0
1,20:56:55.791910,20:57:06.755919,-1,-1.0
1,20:56:55.791910,20:57:07.095510,-1,-1.0
1,20:56:55.791910,20:57:07.525713,-1,-1.0
1,20:56:55.791910,20:57:07.815119,-1,-1.0
1,20:56:55.791910,20:57:08.058177,-1,-1.0
1,20:56:55.791910,20:57:08.307256,-1,-1.0
1,20:56:55.791910,20:57:08.525049,-1,-1.0
1,20:56:55.791910,20:57:08.753823,-1,-1.0
1,20:56:55.791910,20:57:09.220739,1,-1.0
1,20:56:55.791910,20:57:09.428536,1,-1.0
1,20:56:55.791910,20:57:09.615628,1,-1.0
1,20:56:55.791910,20:57:09.802546,1,-1.0
