Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:00:30.615291,23:00:32.227976,1,-1.0
1,23:00:30.615291,23:00:32.411578,1,-1.0
1,23:00:30.615291,23:00:32.660523,1,-1.0
1,23:00:30.615291,23:00:32.868165,1,-1.0
1,23:00:30.615291,23:00:33.045654,1,-1.0
1,23:00:30.615291,23:00:33.233058,1,-1.0
1,23:00:30.615291,23:00:33.410129,1,-1.0
1,23:00:30.615291,23:00:33.566777,1,-1.0
1,23:00:30.615291,23:00:33.744038,1,-1.0
1,23:00:30.615291,23:00:33.901470,1,-1.0
1,23:00:30.615291,23:00:34.057687,1,-1.0
1,23:00:30.615291,23:00:34.214130,1,-1.0
1,23:00:30.615291,23:00:34.381316,1,-1.0
1,23:00:30.615291,23:00:34.537888,1,-1.0
1,23:00:30.615291,23:00:35.540638,1,-1.0
1,23:00:30.615291,23:00:35.703546,1,-1.0
1,23:00:30.615291,23:00:35.859491,1,-1.0
1,23:00:30.615291,23:00:36.027557,1,-1.0
1,23:00:30.615291,23:00:36.194929,1,-1.0
1,23:00:30.615291,23:00:36.343150,1,-1.0
1,23:00:30.615291,23:00:36.500196,1,-1.0
1,23:00:30.615291,23:00:36.660207,1,-1.0
1,23:00:30.615291,23:00:36.805710,1,-1.0
1,23:00:30.615291,23:00:36.953400,1,-1.0
1,23:00:30.615291,23:00:37.101711,1,-1.0
1,23:00:30.615291,23:00:37.268485,1,-1.0
1,23:00:30.615291,23:00:37.424839,1,-1.0
1,23:00:30.615291,23:00:37.581968,1,-1.0
1,23:00:30.615291,23:00:37.748958,1,-1.0
1,23:00:30.615291,23:00:37.903075,1,-1.0
1,23:00:30.615291,23:00:38.049926,1,-1.0
1,23:00:30.615291,23:00:38.206177,1,-1.0
1,23:00:30.615291,23:00:38.362445,1,-1.0
1,23:00:30.615291,23:00:38.518527,1,-1.0
1,23:00:30.615291,23:00:38.685343,1,-1.0
1,23:00:30.615291,23:00:38.851588,1,-1.0
1,23:00:30.615291,23:00:38.946440,-1,-1.0
1,23:00:30.615291,23:00:39.175574,-1,-1.0
1,23:00:30.615291,23:00:39.374939,-1,-1.0
1,23:00:30.615291,23:00:39.665745,-1,-1.0
1,23:00:30.615291,23:00:39.894703,-1,-1.0
1,23:00:30.615291,23:00:40.132963,-1,-1.0
1,23:00:30.615291,23:00:40.372264,-1,-1.0
1,23:00:30.615291,23:00:40.620842,-1,-1.0
1,23:00:30.615291,23:00:40.827943,-1,-1.0
1,23:00:30.615291,23:00:41.041340,-1,-1.0
1,23:00:30.615291,23:00:41.238863,-1,-1.0
1,23:00:30.615291,23:00:41.705608,1,-1.0
1,23:00:30.615291,23:00:41.904848,1,-1.0
1,23:00:30.615291,23:00:42.082479,1,-1.0
1,23:00:30.615291,23:00:42.238878,1,-1.0
1,23:00:30.615291,23:00:42.385788,1,-1.0
1,23:00:30.615291,23:00:42.532050,1,-1.0
1,23:00:30.615291,23:00:42.679357,1,-1.0
1,23:00:30.615291,23:00:42.841901,1,-1.0
1,23:00:30.615291,23:00:42.978811,1,-1.0
1,23:00:30.615291,23:00:43.139954,1,-1.0
1,23:00:30.615291,23:00:43.287376,1,-1.0
1,23:00:30.615291,23:00:43.454383,1,-1.0
1,23:00:30.615291,23:00:43.621802,1,-1.0
1,23:00:30.615291,23:00:43.789851,1,-1.0
1,23:00:30.615291,23:00:43.959564,1,-1.0
1,23:00:30.615291,23:00:44.298737,1,-1.0
1,23:00:30.615291,23:00:44.457954,1,-1.0
