Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,22:10:51.207154,22:10:53.145020,-1,-1.0
1,22:10:51.207154,22:10:54.016392,-1,-1.0
1,22:10:51.207154,22:10:55.192558,1,-1.0
1,22:10:51.207154,22:10:55.369551,1,-1.0
1,22:10:51.207154,22:10:55.517395,1,-1.0
1,22:10:51.207154,22:10:55.684293,1,-1.0
1,22:10:51.207154,22:10:55.852886,1,-1.0
1,22:10:51.207154,22:10:56.020782,1,-1.0
1,22:10:51.207154,22:10:56.177454,1,-1.0
1,22:10:51.207154,22:10:56.365044,1,-1.0
1,22:10:51.207154,22:10:56.541493,1,-1.0
1,22:10:51.207154,22:10:56.718879,1,-1.0
1,22:10:51.207154,22:10:57.069195,1,-1.0
1,22:10:51.207154,22:10:57.246574,1,-1.0
1,22:10:51.207154,22:10:57.434645,1,-1.0
1,22:10:51.207154,22:10:57.612310,1,-1.0
1,22:10:51.207154,22:10:57.812582,1,-1.0
1,22:10:51.207154,22:10:57.979114,1,-1.0
1,22:10:51.207154,22:10:58.186742,1,-1.0
1,22:10:51.207154,22:10:58.354636,1,-1.0
1,22:10:51.207154,22:10:58.553578,1,-1.0
1,22:10:51.207154,22:10:58.719109,1,-1.0
1,22:10:51.207154,22:10:58.886030,1,-1.0
1,22:10:51.207154,22:10:59.042625,1,-1.0
1,22:10:51.207154,22:10:59.209150,1,-1.0
1,22:10:51.207154,22:10:59.365811,1,-1.0
1,22:10:51.207154,22:10:59.522391,1,-1.0
1,22:10:51.207154,22:10:59.691195,1,-1.0
1,22:10:51.207154,22:10:59.840963,1,-1.0
1,22:10:51.207154,22:11:00.028519,1,-1.0
1,22:10:51.207154,22:11:00.206891,1,-1.0
1,22:10:51.207154,22:11:00.377432,1,-1.0
1,22:10:51.207154,22:11:00.549049,1,-1.0
1,22:10:51.207154,22:11:00.705713,1,-1.0
1,22:10:51.207154,22:11:00.882427,1,-1.0
1,22:10:51.207154,22:11:01.038517,1,-1.0
1,22:10:51.207154,22:11:01.428774,-1,-1.0
1,22:10:51.207154,22:11:02.039181,-1,-1.0
1,22:10:51.207154,22:11:02.554591,-1,-1.0
1,22:10:51.207154,22:11:02.894659,-1,-1.0
1,22:10:51.207154,22:11:03.400656,-1,-1.0
1,22:10:51.207154,22:11:03.954518,-1,-1.0
1,22:10:51.207154,22:11:04.365067,-1,-1.0
1,22:10:51.207154,22:11:04.799884,-1,-1.0
1,22:10:51.207154,22:11:05.292614,-1,-1.0
1,22:10:51.207154,22:11:05.867311,-1,-1.0
1,22:10:51.207154,22:11:06.328759,-1,-1.0
1,22:10:51.207154,22:11:06.821735,-1,-1.0
1,22:10:51.207154,22:11:07.610291,-1,-1.0
1,22:10:51.207154,22:11:08.082521,-1,-1.0
1,22:10:51.207154,22:11:09.963543,-1,-1.0
1,22:10:51.207154,22:11:10.325319,-1,-1.0
1,22:10:51.207154,22:11:10.616975,-1,-1.0
1,22:10:51.207154,22:11:11.070755,1,-1.0
1,22:10:51.207154,22:11:11.482937,-1,-1.0
1,22:10:51.207154,22:11:11.977762,-1,-1.0
1,22:10:51.207154,22:11:12.390383,-1,-1.0
1,22:10:51.207154,22:11:12.542795,-1,-1.0
1,22:10:51.207154,22:11:12.709781,-1,-1.0
1,22:10:51.207154,22:11:12.866230,-1,-1.0
1,22:10:51.207154,22:11:13.032903,-1,-1.0
1,22:10:51.207154,22:11:13.586770,-1,-1.0
1,22:10:51.207154,22:11:14.008012,-1,-1.0
1,22:10:51.207154,22:11:14.434393,-1,-1.0
1,22:10:51.207154,22:11:14.786952,-1,-1.0
1,22:10:51.207154,22:11:15.258209,-1,-1.0
1,22:10:51.207154,22:11:15.772278,1,-1.0
1,22:10:51.207154,22:11:15.951206,1,-1.0
1,22:10:51.207154,22:11:16.118327,1,-1.0
1,22:10:51.207154,22:11:16.276345,1,-1.0
1,22:10:51.207154,22:11:16.440985,1,-1.0
1,22:10:51.207154,22:11:16.608016,1,-1.0
1,22:10:51.207154,22:11:16.764322,1,-1.0
1,22:10:51.207154,22:11:16.920203,1,-1.0
1,22:10:51.207154,22:11:17.076973,1,-1.0
1,22:10:51.207154,22:11:17.234988,1,-1.0
1,22:10:51.207154,22:11:17.398871,1,-1.0
1,22:10:51.207154,22:11:17.555563,1,-1.0
1,22:10:51.207154,22:11:17.712453,1,-1.0
1,22:10:51.207154,22:11:17.868757,1,-1.0
1,22:10:51.207154,22:11:18.044822,1,-1.0
1,22:10:51.207154,22:11:18.198054,1,-1.0
1,22:10:51.207154,22:11:18.354755,1,-1.0
1,22:10:51.207154,22:11:18.522235,1,-1.0
1,22:10:51.207154,22:11:18.700461,1,-1.0
1,22:10:51.207154,22:11:18.857342,1,-1.0
1,22:10:51.207154,22:11:19.034297,1,-1.0
1,22:10:51.207154,22:11:19.180399,1,-1.0
1,22:10:51.207154,22:11:19.346791,1,-1.0
1,22:10:51.207154,22:11:19.523065,1,-1.0
1,22:10:51.207154,22:11:19.700304,1,-1.0
1,22:10:51.207154,22:11:19.877970,1,-1.0
1,22:10:51.207154,22:11:20.045201,1,-1.0
1,22:10:51.207154,22:11:20.221785,1,-1.0
1,22:10:51.207154,22:11:20.398607,1,-1.0
1,22:10:51.207154,22:11:20.565543,1,-1.0
1,22:10:51.207154,22:11:20.742174,1,-1.0
1,22:10:51.207154,22:11:20.909358,1,-1.0
1,22:10:51.207154,22:11:21.087264,1,-1.0
1,22:10:51.207154,22:11:21.268309,1,-1.0
1,22:10:51.207154,22:11:21.455517,1,-1.0
1,22:10:51.207154,22:11:21.632981,1,-1.0
1,22:10:51.207154,22:11:21.821471,1,-1.0
1,22:10:51.207154,22:11:22.020521,1,-1.0
1,22:10:51.207154,22:11:22.197949,1,-1.0
1,22:10:51.207154,22:11:22.374257,1,-1.0
1,22:10:51.207154,22:11:22.571207,1,-1.0
1,22:10:51.207154,22:11:22.758603,1,-1.0
1,22:10:51.207154,22:11:22.936378,1,-1.0
1,22:10:51.207154,22:11:23.123546,1,-1.0
1,22:10:51.207154,22:11:23.302997,1,-1.0
1,22:10:51.207154,22:11:23.470495,1,-1.0
1,22:10:51.207154,22:11:23.638690,1,-1.0
1,22:10:51.207154,22:11:23.805874,1,-1.0
1,22:10:51.207154,22:11:23.983330,1,-1.0
1,22:10:51.207154,22:11:24.149698,1,-1.0
1,22:10:51.207154,22:11:24.346864,1,-1.0
1,22:10:51.207154,22:11:24.523764,1,-1.0
1,22:10:51.207154,22:11:24.697112,1,-1.0
1,22:10:51.207154,22:11:24.875110,1,-1.0
1,22:10:51.207154,22:11:25.053446,1,-1.0
1,22:10:51.207154,22:11:25.241478,1,-1.0
1,22:10:51.207154,22:11:25.419857,1,-1.0
1,22:10:51.207154,22:11:25.586572,1,-1.0
1,22:10:51.207154,22:11:25.784604,1,-1.0
1,22:10:51.207154,22:11:26.391918,-1,-1.0
1,22:10:51.207154,22:11:26.548846,-1,-1.0
1,22:10:51.207154,22:11:26.818030,-1,-1.0
1,22:10:51.207154,22:11:27.055616,-1,-1.0
1,22:10:51.207154,22:11:27.355617,-1,-1.0
1,22:10:51.207154,22:11:27.574056,-1,-1.0
1,22:10:51.207154,22:11:27.834148,-1,-1.0
1,22:10:51.207154,22:11:28.104034,-1,-1.0
1,22:10:51.207154,22:11:28.473762,-1,-1.0
1,22:10:51.207154,22:11:28.776508,-1,-1.0
1,22:10:51.207154,22:11:29.015111,-1,-1.0
1,22:10:51.207154,22:11:29.327096,-1,-1.0
1,22:10:51.207154,22:11:29.628753,-1,-1.0
1,22:10:51.207154,22:11:29.907891,-1,-1.0
1,22:10:51.207154,22:11:30.177475,-1,-1.0
1,22:10:51.207154,22:11:30.478109,-1,-1.0
1,22:10:51.207154,22:11:30.718898,-1,-1.0
1,22:10:51.207154,22:11:30.998947,-1,-1.0
1,22:10:51.207154,22:11:31.269863,-1,-1.0
1,22:10:51.207154,22:11:31.560543,-1,-1.0
1,22:10:51.207154,22:11:31.821884,-1,-1.0
1,22:10:51.207154,22:11:32.111477,-1,-1.0
1,22:10:51.207154,22:11:32.360266,-1,-1.0
1,22:10:51.207154,22:11:32.836308,-1,-1.0
1,22:10:51.207154,22:11:33.307971,-1,-1.0
1,22:10:51.207154,22:11:33.660088,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,22:11:33.987423,22:11:34.067691,-1,-1.0
2,22:11:33.987423,22:11:34.410031,-1,-1.0
2,22:11:33.987423,22:11:34.853475,-1,-1.0
2,22:11:33.987423,22:11:35.203612,-1,-1.0
2,22:11:33.987423,22:11:35.526679,-1,-1.0
2,22:11:33.987423,22:11:35.969676,-1,-1.0
2,22:11:33.987423,22:11:36.361744,-1,-1.0
2,22:11:33.987423,22:11:36.817319,-1,-1.0
2,22:11:33.987423,22:11:37.277025,-1,-1.0
2,22:11:33.987423,22:11:37.670691,-1,-1.0
2,22:11:33.987423,22:11:38.397928,1,-1.0
2,22:11:33.987423,22:11:38.711621,1,-1.0
2,22:11:33.987423,22:11:38.867809,1,-1.0
2,22:11:33.987423,22:11:39.015531,1,-1.0
2,22:11:33.987423,22:11:39.163497,1,-1.0
2,22:11:33.987423,22:11:39.320875,1,-1.0
2,22:11:33.987423,22:11:39.486188,1,-1.0
2,22:11:33.987423,22:11:39.642550,1,-1.0
2,22:11:33.987423,22:11:39.809474,1,-1.0
2,22:11:33.987423,22:11:39.966319,1,-1.0
2,22:11:33.987423,22:11:40.163703,1,-1.0
2,22:11:33.987423,22:11:40.371352,1,-1.0
2,22:11:33.987423,22:11:40.579776,1,-1.0
2,22:11:33.987423,22:11:40.746125,1,-1.0
2,22:11:33.987423,22:11:40.943251,1,-1.0
2,22:11:33.987423,22:11:41.130276,1,-1.0
2,22:11:33.987423,22:11:41.338365,1,-1.0
2,22:11:33.987423,22:11:41.525348,1,-1.0
2,22:11:33.987423,22:11:41.701967,1,-1.0
2,22:11:33.987423,22:11:41.899737,1,-1.0
2,22:11:33.987423,22:11:42.096971,1,-1.0
2,22:11:33.987423,22:11:42.273854,1,-1.0
2,22:11:33.987423,22:11:42.471020,1,-1.0
2,22:11:33.987423,22:11:42.678866,1,-1.0
2,22:11:33.987423,22:11:42.876539,1,-1.0
2,22:11:33.987423,22:11:43.064303,1,-1.0
2,22:11:33.987423,22:11:43.231156,1,-1.0
2,22:11:33.987423,22:11:43.428362,1,-1.0
2,22:11:33.987423,22:11:43.615906,1,-1.0
2,22:11:33.987423,22:11:44.375621,-1,-1.0
2,22:11:33.987423,22:11:44.868892,-1,-1.0
2,22:11:33.987423,22:11:45.250981,-1,-1.0
2,22:11:33.987423,22:11:45.664219,-1,-1.0
2,22:11:33.987423,22:11:46.232289,-1,-1.0
2,22:11:33.987423,22:11:46.644827,-1,-1.0
2,22:11:33.987423,22:11:47.355815,-1,-1.0
2,22:11:33.987423,22:11:48.054368,1,-1.0
2,22:11:33.987423,22:11:48.243688,1,-1.0
2,22:11:33.987423,22:11:48.400745,1,-1.0
2,22:11:33.987423,22:11:48.567208,1,-1.0
2,22:11:33.987423,22:11:48.733934,1,-1.0
2,22:11:33.987423,22:11:48.900668,1,-1.0
2,22:11:33.987423,22:11:49.056926,1,-1.0
