Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:15:30.246389,23:15:31.451016,-1,-1.0
1,23:15:30.246389,23:15:32.117525,-1,-1.0
1,23:15:30.246389,23:15:32.470484,1,-1.0
1,23:15:30.246389,23:15:32.740879,1,-1.0
1,23:15:30.246389,23:15:32.878380,1,-1.0
1,23:15:30.246389,23:15:33.016699,1,-1.0
1,23:15:30.246389,23:15:33.133402,1,-1.0
1,23:15:30.246389,23:15:33.269603,1,-1.0
1,23:15:30.246389,23:15:33.374966,1,-1.0
1,23:15:30.246389,23:15:33.470107,1,-1.0
1,23:15:30.246389,23:15:33.595846,1,-1.0
1,23:15:30.246389,23:15:33.721864,1,-1.0
1,23:15:30.246389,23:15:33.839932,1,-1.0
1,23:15:30.246389,23:15:33.976340,1,-1.0
1,23:15:30.246389,23:15:34.081826,1,-1.0
1,23:15:30.246389,23:15:34.189320,1,-1.0
1,23:15:30.246389,23:15:34.305257,1,-1.0
1,23:15:30.246389,23:15:34.423762,1,-1.0
1,23:15:30.246389,23:15:34.488441,1,-1.0
1,23:15:30.246389,23:15:34.612345,1,-1.0
1,23:15:30.246389,23:15:34.750057,1,-1.0
1,23:15:30.246389,23:15:34.875731,1,-1.0
1,23:15:30.246389,23:15:35.001862,1,-1.0
1,23:15:30.246389,23:15:35.117160,1,-1.0
1,23:15:30.246389,23:15:35.249469,1,-1.0
1,23:15:30.246389,23:15:35.371165,1,-1.0
1,23:15:30.246389,23:15:35.499106,1,-1.0
1,23:15:30.246389,23:15:35.645412,1,-1.0
1,23:15:30.246389,23:15:35.751476,1,-1.0
1,23:15:30.246389,23:15:35.876623,1,-1.0
1,23:15:30.246389,23:15:36.012687,1,-1.0
1,23:15:30.246389,23:15:36.066952,1,-1.0
1,23:15:30.246389,23:15:36.223985,1,-1.0
1,23:15:30.246389,23:15:36.350083,1,-1.0
1,23:15:30.246389,23:15:36.494876,1,-1.0
1,23:15:30.246389,23:15:36.617059,1,-1.0
1,23:15:30.246389,23:15:36.711692,1,-1.0
1,23:15:30.246389,23:15:36.868553,1,-1.0
1,23:15:30.246389,23:15:37.004180,1,-1.0
1,23:15:30.246389,23:15:37.216463,1,-1.0
1,23:15:30.246389,23:15:37.558526,1,-1.0
1,23:15:30.246389,23:15:37.686008,1,-1.0
1,23:15:30.246389,23:15:37.811967,1,-1.0
1,23:15:30.246389,23:15:37.937197,1,-1.0
1,23:15:30.246389,23:15:38.053122,1,-1.0
1,23:15:30.246389,23:15:38.210142,-1,-1.0
1,23:15:30.246389,23:15:38.602463,-1,-1.0
1,23:15:30.246389,23:15:38.827137,-1,-1.0
1,23:15:30.246389,23:15:38.964244,-1,-1.0
1,23:15:30.246389,23:15:39.122499,-1,-1.0
1,23:15:30.246389,23:15:39.269027,-1,-1.0
1,23:15:30.246389,23:15:39.405178,-1,-1.0
1,23:15:30.246389,23:15:39.520608,-1,-1.0
1,23:15:30.246389,23:15:39.700867,-1,-1.0
1,23:15:30.246389,23:15:39.979729,-1,-1.0
1,23:15:30.246389,23:15:40.168655,-1,-1.0
1,23:15:30.246389,23:15:40.315479,-1,-1.0
1,23:15:30.246389,23:15:40.461783,-1,-1.0
1,23:15:30.246389,23:15:40.864206,1,-1.0
1,23:15:30.246389,23:15:41.005513,1,-1.0
1,23:15:30.246389,23:15:41.131359,1,-1.0
1,23:15:30.246389,23:15:41.339726,-1,-1.0
1,23:15:30.246389,23:15:41.599910,-1,-1.0
1,23:15:30.246389,23:15:41.777151,-1,-1.0
1,23:15:30.246389,23:15:42.119683,-1,-1.0
1,23:15:30.246389,23:15:42.390616,-1,-1.0
1,23:15:30.246389,23:15:42.599207,-1,-1.0
1,23:15:30.246389,23:15:42.968850,1,-1.0
1,23:15:30.246389,23:15:43.093327,1,-1.0
1,23:15:30.246389,23:15:43.234641,1,-1.0
1,23:15:30.246389,23:15:43.371021,1,-1.0
1,23:15:30.246389,23:15:43.478087,1,-1.0
1,23:15:30.246389,23:15:43.586950,1,-1.0
1,23:15:30.246389,23:15:43.714112,1,-1.0
1,23:15:30.246389,23:15:43.829897,1,-1.0
1,23:15:30.246389,23:15:43.945407,1,-1.0
1,23:15:30.246389,23:15:44.032164,1,-1.0
1,23:15:30.246389,23:15:44.152778,1,-1.0
1,23:15:30.246389,23:15:44.232387,1,-1.0
1,23:15:30.246389,23:15:44.348587,1,-1.0
1,23:15:30.246389,23:15:44.443665,1,-1.0
1,23:15:30.246389,23:15:44.551694,1,-1.0
1,23:15:30.246389,23:15:44.638106,1,-1.0
1,23:15:30.246389,23:15:44.755883,1,-1.0
1,23:15:30.246389,23:15:44.872191,1,-1.0
1,23:15:30.246389,23:15:44.961727,1,-1.0
1,23:15:30.246389,23:15:45.072418,1,-1.0
1,23:15:30.246389,23:15:45.182135,1,-1.0
1,23:15:30.246389,23:15:45.266508,1,-1.0
