Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,22:15:00.098826,22:15:04.139017,1,-1.0
1,22:15:00.098826,22:15:04.306015,1,-1.0
1,22:15:00.098826,22:15:04.475153,1,-1.0
1,22:15:00.098826,22:15:04.672398,1,-1.0
1,22:15:00.098826,22:15:04.828526,1,-1.0
1,22:15:00.098826,22:15:04.977266,1,-1.0
1,22:15:00.098826,22:15:05.123556,1,-1.0
1,22:15:00.098826,22:15:05.270150,1,-1.0
1,22:15:00.098826,22:15:05.416048,1,-1.0
1,22:15:00.098826,22:15:05.574054,1,-1.0
1,22:15:00.098826,22:15:05.710200,1,-1.0
1,22:15:00.098826,22:15:05.887828,1,-1.0
1,22:15:00.098826,22:15:06.045187,1,-1.0
1,22:15:00.098826,22:15:06.234555,1,-1.0
1,22:15:00.098826,22:15:06.411798,1,-1.0
1,22:15:00.098826,22:15:06.579230,1,-1.0
1,22:15:00.098826,22:15:06.756349,1,-1.0
1,22:15:00.098826,22:15:06.923197,1,-1.0
1,22:15:00.098826,22:15:07.089397,1,-1.0
1,22:15:00.098826,22:15:07.246123,1,-1.0
1,22:15:00.098826,22:15:07.403206,1,-1.0
1,22:15:00.098826,22:15:07.549775,1,-1.0
1,22:15:00.098826,22:15:07.707597,1,-1.0
1,22:15:00.098826,22:15:07.853284,1,-1.0
1,22:15:00.098826,22:15:07.998319,1,-1.0
1,22:15:00.098826,22:15:08.170367,1,-1.0
1,22:15:00.098826,22:15:08.315567,1,-1.0
1,22:15:00.098826,22:15:08.462427,1,-1.0
1,22:15:00.098826,22:15:08.612019,1,-1.0
1,22:15:00.098826,22:15:08.768154,1,-1.0
1,22:15:00.098826,22:15:09.373823,-1,-1.0
1,22:15:00.098826,22:15:09.541138,-1,-1.0
1,22:15:00.098826,22:15:09.900247,-1,-1.0
1,22:15:00.098826,22:15:10.244999,-1,-1.0
1,22:15:00.098826,22:15:10.535348,-1,-1.0
1,22:15:00.098826,22:15:10.989673,-1,-1.0
1,22:15:00.098826,22:15:11.340981,-1,-1.0
1,22:15:00.098826,22:15:11.683743,-1,-1.0
1,22:15:00.098826,22:15:12.028008,-1,-1.0
1,22:15:00.098826,22:15:12.270141,-1,-1.0
1,22:15:00.098826,22:15:12.403676,-1,-1.0
1,22:15:00.098826,22:15:13.152622,1,-1.0
1,22:15:00.098826,22:15:13.300185,1,-1.0
1,22:15:00.098826,22:15:13.444728,1,-1.0
1,22:15:00.098826,22:15:13.590611,1,-1.0
1,22:15:00.098826,22:15:13.748719,1,-1.0
1,22:15:00.098826,22:15:13.915651,1,-1.0
1,22:15:00.098826,22:15:14.083307,1,-1.0
1,22:15:00.098826,22:15:14.234023,1,-1.0
1,22:15:00.098826,22:15:14.405282,1,-1.0
1,22:15:00.098826,22:15:14.573851,1,-1.0
1,22:15:00.098826,22:15:14.740387,1,-1.0
1,22:15:00.098826,22:15:14.897152,1,-1.0
1,22:15:00.098826,22:15:15.073711,1,-1.0
1,22:15:00.098826,22:15:15.251064,1,-1.0
1,22:15:00.098826,22:15:15.418200,1,-1.0
1,22:15:00.098826,22:15:16.074824,-1,-1.0
1,22:15:00.098826,22:15:16.853309,-1,-1.0
1,22:15:00.098826,22:15:17.294443,-1,-1.0
1,22:15:00.098826,22:15:17.604997,-1,-1.0
1,22:15:00.098826,22:15:17.792387,-1,-1.0
1,22:15:00.098826,22:15:18.387117,1,-1.0
1,22:15:00.098826,22:15:18.555862,1,-1.0
1,22:15:00.098826,22:15:18.702076,1,-1.0
1,22:15:00.098826,22:15:18.858203,1,-1.0
1,22:15:00.098826,22:15:19.014228,1,-1.0
1,22:15:00.098826,22:15:19.150770,1,-1.0
1,22:15:00.098826,22:15:19.323012,1,-1.0
1,22:15:00.098826,22:15:19.469996,1,-1.0
1,22:15:00.098826,22:15:19.608455,1,-1.0
1,22:15:00.098826,22:15:19.785982,1,-1.0
1,22:15:00.098826,22:15:19.942481,1,-1.0
1,22:15:00.098826,22:15:20.110117,1,-1.0
1,22:15:00.098826,22:15:20.267775,1,-1.0
1,22:15:00.098826,22:15:20.465770,1,-1.0
1,22:15:00.098826,22:15:20.642833,1,-1.0
1,22:15:00.098826,22:15:20.799754,1,-1.0
1,22:15:00.098826,22:15:20.966376,1,-1.0
1,22:15:00.098826,22:15:21.153881,1,-1.0
1,22:15:00.098826,22:15:21.331318,1,-1.0
1,22:15:00.098826,22:15:21.508472,1,-1.0
1,22:15:00.098826,22:15:21.675057,1,-1.0
1,22:15:00.098826,22:15:21.851994,1,-1.0
1,22:15:00.098826,22:15:22.008469,1,-1.0
1,22:15:00.098826,22:15:22.164932,1,-1.0
1,22:15:00.098826,22:15:22.332130,1,-1.0
1,22:15:00.098826,22:15:22.529272,1,-1.0
1,22:15:00.098826,22:15:22.716129,1,-1.0
1,22:15:00.098826,22:15:22.872626,1,-1.0
1,22:15:00.098826,22:15:23.029107,1,-1.0
1,22:15:00.098826,22:15:23.217998,1,-1.0
1,22:15:00.098826,22:15:23.415478,1,-1.0
1,22:15:00.098826,22:15:23.869268,-1,-1.0
