Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,22:37:40.237932,22:37:47.074537,-1,-1.0
1,22:37:40.237932,22:37:47.466824,-1,-1.0
1,22:37:40.237932,22:37:47.728061,-1,-1.0
1,22:37:40.237932,22:37:47.968187,-1,-1.0
1,22:37:40.237932,22:37:48.197004,-1,-1.0
1,22:37:40.237932,22:37:48.404839,-1,-1.0
1,22:37:40.237932,22:37:48.604678,-1,-1.0
1,22:37:40.237932,22:37:48.802830,-1,-1.0
1,22:37:40.237932,22:37:49.021257,-1,-1.0
1,22:37:40.237932,22:37:49.229382,-1,-1.0
1,22:37:40.237932,22:37:50.621897,-1,-1.0
1,22:37:40.237932,22:37:51.088083,-1,-1.0
